"% Please cite these data as: R. Pinhasi, J. Fort & A. Ammerman, Tracing the origin and spread of agriculture in Europe (2005), PLoS Biology xx, xxx-xxx, Suppl. Info. 1. ";;;;;;;;;;;;
"Latitude";"Longitude";"Site";"Location";"Country";"Period";"Period_simplified";;"Lab Number";"Uncal C14 BP";"Uncal C14_SD";"CAL C14 BP";"CAL_SD"
25,8789;56,0236;"Ras al-Jins 37";"Arabia";"Oman";"ABT";"ABT";;"Gif-9819";6070;70;8020;106
23,1206;57,2831;"Ras al-Hamra 7";"Arabia";"Oman";"ABT?";"ABT";;"Hv-10926";7065;105;9015;98
22,9333;57,5333;"Wadi Shab 1";"Arabia";"Oman";"ABT?";"ABT";;"GX-17881";5127;80;7077;98
23,2369;58,1183;"Shuwayr 1";"Arabia";"Oman";"ABT?";"ABT";;"Bln-3644/II";6220;60;8170;89
23,6111;58,4569;"Saruq";"Arabia";"Oman";"ABT";"ABT";;"Hv-14211";6685;105;8635;85
23,6033;58,5017;"Wadi Wutayya";"Arabia";"Oman";"ABT";"ABT";;"Hv-12963";7250;85;9200;84
22,6903;58,5469;"Bir Bira 1";"Arabia";"Oman";"ABT?";"ABT";;"Hv-10921";5850;115;7800;136
23,6133;58,5933;"Qurum North 1";"Arabia";"Oman";"ABT?";"ABT";;"Hv-14212";5580;160;7530;177
23,5514;58,6428;"Bandar Jissa 1";"Arabia";"Oman";"ABT?";"ABT";;"Hv-12975";5730;105;7680;113
23,5014;58,7325;"Bandar Khayran 1, 1";"Arabia";"Oman";"ABT?";"ABT";;"Hv-10924";6610;105;8560;81
23,1833;59,0000;"Daghmar 1";"Arabia";"Oman";"ABT?";"ABT";;"Hv-10922";6545;105;8495;99
23,0797;59,0547;"Dibab 1";"Arabia";"Oman";"ABT?";"ABT";;"Bln-5270/II";5420;60;7370;80
24,8272;51,3947;"Shagra A";"Arabia";"Qatar";"Neolithic";"Neolithic";;"Gif-5938";7520;90;9470;84
