# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual gdd5
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 23:03:28 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 23:02:45 (c)2010 lemmen
0001 001 0.00
0002 001 0.00
0003 001 0.00
0004 001 0.00
0005 001 0.00
0006 001 0.00
0007 001 0.00
0008 001 0.00
0009 001 -1682.16
0010 001 0.00
0011 001 0.00
0012 001 0.00
0013 001 0.00
0014 001 -9999.00
0015 001 0.00
0016 001 -9999.00
0017 001 -9999.00
0018 001 0.00
0019 001 -9999.00
0020 001 -548.42
0021 001 -9999.00
0022 001 0.00
0023 001 0.00
0024 001 0.00
0025 001 -236.23
0026 001 0.00
0027 001 -9999.00
0028 001 0.00
0029 001 -7825.47
0030 001 -85.46
0031 001 0.00
0032 001 -9999.00
0033 001 -9999.00
0034 001 -9999.00
0035 001 -86.78
0036 001 -9999.00
0037 001 -9999.00
0038 001 -9999.00
0039 001 0.00
0040 001 -9999.00
0041 001 -9999.00
0042 001 0.00
0043 001 0.00
0044 001 -9999.00
0045 001 -9999.00
0046 001 0.00
0047 001 -9999.00
0048 001 -9999.00
0049 001 -9999.00
0050 001 -9999.00
0051 001 -9999.00
0052 001 -9999.00
0053 001 -9999.00
0054 001 -9999.00
0055 001 -9999.00
0056 001 -9999.00
0057 001 -9480.77
0058 001 -9999.00
0059 001 -9999.00
0060 001 -9999.00
0061 001 -9999.00
0062 001 -9999.00
0063 001 -9999.00
0064 001 -9999.00
0065 001 -9999.00
0066 001 -9999.00
0067 001 -5064.70
0068 001 -9999.00
0069 001 -9999.00
0070 001 -9999.00
0071 001 -9999.00
0072 001 -9999.00
0073 001 -9999.00
0074 001 -9999.00
0075 001 -9999.00
0076 001 -9999.00
0077 001 -9999.00
0078 001 -9999.00
0079 001 -9999.00
0080 001 -9999.00
0081 001 -9999.00
0082 001 -9999.00
0083 001 -9999.00
0084 001 -9999.00
0085 001 -9999.00
0086 001 -9999.00
0087 001 -9999.00
0088 001 -9999.00
0089 001 -9999.00
0090 001 -9999.00
0091 001 -9999.00
0092 001 -9999.00
0093 001 -9999.00
0094 001 -9999.00
0095 001 -9999.00
0096 001 -9999.00
0097 001 -9999.00
0098 001 -9999.00
0099 001 -9999.00
0100 001 -9999.00
0101 001 -9999.00
0102 001 -9999.00
0103 001 -9999.00
0104 001 -9999.00
0105 001 -9999.00
0106 001 -9999.00
0107 001 -9999.00
0108 001 -9999.00
0109 001 -9999.00
0110 001 -9999.00
0111 001 -9999.00
0112 001 -9999.00
0113 001 -9999.00
0114 001 -9999.00
0115 001 -9999.00
0116 001 -9999.00
0117 001 -9999.00
0118 001 -9999.00
0119 001 -9999.00
0120 001 -9999.00
0121 001 -9999.00
0122 001 -9999.00
0123 001 -9999.00
0124 001 -9999.00
0125 001 -9999.00
0126 001 -9999.00
0127 001 -9999.00
0128 001 -9999.00
0129 001 -9999.00
0130 001 -9999.00
0131 001 -9999.00
0132 001 -9999.00
0133 001 -9999.00
0134 001 -8165.96
0135 001 -9999.00
0136 001 -9999.00
0137 001 -9999.00
0138 001 -9999.00
0139 001 -9999.00
0140 001 -9999.00
0141 001 -9999.00
0142 001 -9999.00
0143 001 -9999.00
0144 001 -9999.00
0145 001 -600.87
0146 001 -9999.00
0147 001 -9999.00
0148 001 -9999.00
0149 001 -9999.00
0150 001 -9999.00
0151 001 -9999.00
0152 001 -9999.00
0153 001 -9999.00
0154 001 -9999.00
0155 001 -9999.00
0156 001 -9999.00
0157 001 -9999.00
0158 001 -9999.00
0159 001 -9999.00
0160 001 -9999.00
0161 001 -9999.00
0162 001 -6194.39
0163 001 -6533.62
0164 001 -9999.00
0165 001 -9999.00
0166 001 -9999.00
0167 001 -9999.00
0168 001 -9999.00
0169 001 -9999.00
0170 001 -9999.00
0171 001 -9999.00
0172 001 -9999.00
0173 001 -9999.00
0174 001 -9999.00
0175 001 -9999.00
0176 001 -9999.00
0177 001 -9999.00
0178 001 -9999.00
0179 001 -9999.00
0180 001 -9999.00
0181 001 -9999.00
0182 001 -9999.00
0183 001 -9999.00
0184 001 -9999.00
0185 001 -9999.00
0186 001 -9999.00
0187 001 -9999.00
0188 001 -9999.00
0189 001 -9999.00
0190 001 -9999.00
0191 001 1122.71
0192 001 -9999.00
0193 001 -9999.00
0194 001 -9999.00
0195 001 -9999.00
0196 001 -9999.00
0197 001 -9810.29
0198 001 -1251.61
0199 001 -9999.00
0200 001 -9999.00
0201 001 -9999.00
0202 001 -9999.00
0203 001 -9999.00
0204 001 -9999.00
0205 001 -9999.00
0206 001 -9999.00
0207 001 -9999.00
0208 001 -9999.00
0209 001 -9999.00
0210 001 -9999.00
0211 001 -9999.00
0212 001 -9999.00
0213 001 -9999.00
0214 001 -9999.00
0215 001 -9999.00
0216 001 -9999.00
0217 001 -9999.00
0218 001 -9999.00
0219 001 -9999.00
0220 001 -9999.00
0221 001 -9999.00
0222 001 -9999.00
0223 001 -9999.00
0224 001 -9999.00
0225 001 -9999.00
0226 001 -9999.00
0227 001 -9999.00
0228 001 -3318.99
0229 001 -9999.00
0230 001 -9999.00
0231 001 -9999.00
0232 001 -9999.00
0233 001 -9999.00
0234 001 -9999.00
0235 001 -9999.00
0236 001 -9999.00
0237 001 -9999.00
0238 001 -9999.00
0239 001 -9999.00
0240 001 -9999.00
0241 001 -9999.00
0242 001 -9999.00
0243 001 -9999.00
0244 001 -9999.00
0245 001 -9999.00
0246 001 -9999.00
0247 001 -9999.00
0248 001 -9999.00
0249 001 -9999.00
0250 001 -9999.00
0251 001 -9999.00
0252 001 -9999.00
0253 001 -9999.00
0254 001 -9999.00
0255 001 -9999.00
0256 001 -9999.00
0257 001 -9999.00
0258 001 -9999.00
0259 001 -9999.00
0260 001 -9999.00
0261 001 -9999.00
0262 001 -9999.00
0263 001 -9999.00
0264 001 -9999.00
0265 001 -9999.00
0266 001 -9999.00
0267 001 -9999.00
0268 001 -9999.00
0269 001 -9999.00
0270 001 -9999.00
0271 001 -9999.00
0272 001 -9999.00
0273 001 -9999.00
0274 001 -9999.00
0275 001 -9999.00
0276 001 -9999.00
0277 001 -9999.00
0278 001 -9999.00
0279 001 -9999.00
0280 001 -9999.00
0281 001 -9999.00
0282 001 -9999.00
0283 001 -9999.00
0284 001 -9999.00
0285 001 -9999.00
0286 001 -9999.00
0287 001 -9999.00
0288 001 -9999.00
0289 001 -8287.48
0290 001 -9999.00
0291 001 -9999.00
0292 001 -9999.00
0293 001 -9999.00
0294 001 -9999.00
0295 001 -9999.00
0296 001 -9999.00
0297 001 -9999.00
0298 001 -9999.00
0299 001 -9999.00
0300 001 -9999.00
0301 001 -9999.00
0302 001 -9999.00
0303 001 -9999.00
0304 001 -9999.00
0305 001 -9999.00
0306 001 -9999.00
0307 001 -9999.00
0308 001 -9999.00
0309 001 -9999.00
0310 001 -9999.00
0311 001 -9999.00
0312 001 -9999.00
0313 001 -9999.00
0314 001 -9999.00
0315 001 -9999.00
0316 001 -9999.00
0317 001 -9999.00
0318 001 -9999.00
0319 001 -9999.00
0320 001 -9999.00
0321 001 -9999.00
0322 001 -9999.00
0323 001 -9999.00
0324 001 -9999.00
0325 001 -9999.00
0326 001 -9999.00
0327 001 -9999.00
0328 001 -9999.00
0329 001 -9999.00
0330 001 -2239.87
0331 001 -9999.00
0332 001 -9999.00
0333 001 -9999.00
0334 001 -9999.00
0335 001 -9999.00
0336 001 -9999.00
0337 001 -9999.00
0338 001 -9999.00
0339 001 -9999.00
0340 001 -9999.00
0341 001 -9999.00
0342 001 -9999.00
0343 001 -9999.00
0344 001 -9999.00
0345 001 -9999.00
0346 001 -9999.00
0347 001 -9999.00
0348 001 -9999.00
0349 001 2662.09
0350 001 -9999.00
0351 001 -9999.00
0352 001 -9999.00
0353 001 -9999.00
0354 001 -9343.35
0355 001 -9999.00
0356 001 -9999.00
0357 001 -9999.00
0358 001 -3566.60
0359 001 3884.97
0360 001 -9999.00
0361 001 -9999.00
0362 001 -9999.00
0363 001 -9999.00
0364 001 -9999.00
0365 001 -9999.00
0366 001 -9999.00
0367 001 -9999.00
0368 001 -9999.00
0369 001 -9999.00
0370 001 -9999.00
0371 001 -9999.00
0372 001 -9999.00
0373 001 3050.95
0374 001 4472.89
0375 001 -9999.00
0376 001 -9999.00
0377 001 -9999.00
0378 001 -9999.00
0379 001 4538.10
0380 001 -9999.00
0381 001 5096.33
0382 001 -9999.00
0383 001 -9999.00
0384 001 -9999.00
0385 001 -9999.00
0386 001 -9999.00
0387 001 -9999.00
0388 001 -9999.00
0389 001 -9999.00
0390 001 -9999.00
0391 001 -9999.00
0392 001 -9999.00
0393 001 -9999.00
0394 001 -9999.00
0395 001 -9999.00
0396 001 517.30
0397 001 -9999.00
0398 001 -9999.00
0399 001 -9999.00
0400 001 -419.66
0401 001 -9999.00
0402 001 4665.01
0403 001 -9999.00
0404 001 -9999.00
0405 001 -9999.00
0406 001 -8056.13
0407 001 -9999.00
0408 001 -9999.00
0409 001 -9999.00
0410 001 -9999.00
0411 001 -9999.00
0412 001 -9999.00
0413 001 -9999.00
0414 001 4395.24
0415 001 -9999.00
0416 001 -9999.00
0417 001 -9999.00
0418 001 -9999.00
0419 001 -9999.00
0420 001 6243.42
0421 001 -5700.34
0422 001 -9999.00
0423 001 -9999.00
0424 001 -9999.00
0425 001 563.63
0426 001 -5114.19
0427 001 -9999.00
0428 001 232.57
0429 001 6658.08
0430 001 -6492.47
0431 001 -9999.00
0432 001 -9999.00
0433 001 5865.80
0434 001 -9999.00
0435 001 -9999.00
0436 001 5065.74
0437 001 -9999.00
0438 001 -9999.00
0439 001 -9999.00
0440 001 -8248.96
0441 001 -9999.00
0442 001 -9999.00
0443 001 -9999.00
0444 001 6073.69
0445 001 5484.96
0446 001 4559.43
0447 001 -9999.00
0448 001 5738.79
0449 001 -9999.00
0450 001 -9999.00
0451 001 4621.82
0452 001 -9999.00
0453 001 -9999.00
0454 001 -8011.71
0455 001 -9999.00
0456 001 5382.60
0457 001 7268.30
0458 001 -9999.00
0459 001 -9999.00
0460 001 -9999.00
0461 001 -9999.00
0462 001 -9999.00
0463 001 -562.60
0464 001 7241.10
0465 001 -9999.00
0466 001 -9999.00
0467 001 7664.98
0468 001 6260.53
0469 001 7091.31
0470 001 -9999.00
0471 001 -8550.38
0472 001 6363.80
0473 001 -9999.00
0474 001 6323.83
0475 001 6182.88
0476 001 6643.00
0477 001 -9656.52
0478 001 -9999.00
0479 001 7270.76
0480 001 -9999.00
0481 001 4636.89
0482 001 -896.89
0483 001 -1132.12
0484 001 3159.26
0485 001 -9999.00
0486 001 -9999.00
0487 001 -9999.00
0488 001 7791.49
0489 001 -9999.00
0490 001 7396.57
0491 001 5986.26
0492 001 5851.28
0493 001 5676.79
0494 001 7007.53
0495 001 7490.89
0496 001 -9999.00
0497 001 -9999.00
0498 001 -9999.00
0499 001 7674.14
0500 001 -2254.24
0501 001 -9999.00
0502 001 7056.04
0503 001 7701.61
0504 001 441.14
0505 001 7080.77
0506 001 -9999.00
0507 001 -9999.00
0508 001 7255.11
0509 001 6439.81
0510 001 4805.68
0511 001 5656.24
0512 001 4986.14
0513 001 -9743.54
0514 001 1404.79
0515 001 7491.21
0516 001 5161.02
0517 001 478.85
0518 001 6189.74
0519 001 5340.94
0520 001 6057.88
0521 001 7598.73
0522 001 847.92
0523 001 6800.90
0524 001 7274.17
0525 001 -2243.65
0526 001 -519.70
0527 001 -9999.00
0528 001 1815.70
0529 001 6991.29
0530 001 -9999.00
0531 001 -9999.00
0532 001 2413.23
0533 001 7125.11
0534 001 -9999.00
0535 001 7189.24
0536 001 -9999.00
0537 001 -9999.00
0538 001 7086.89
0539 001 5444.83
0540 001 -896.90
0541 001 -9999.00
0542 001 6698.36
0543 001 -9999.00
0544 001 7113.39
