# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual gdd
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  07-Dec-2010 09:14:42 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 07-Dez-2010 09:14:26 (c)2010 lemmen
0001 001 309.62
0002 001 365.00
0003 001 365.00
0004 001 0.28
0005 001 365.00
0006 001 310.35
0007 001 314.50
0008 001 357.69
0009 001 365.00
0010 001 365.00
0011 001 365.00
0012 001 365.00
0013 001 365.00
0014 001 365.00
0015 001 302.92
0016 001 363.68
0017 001 365.00
0018 001 365.00
0019 001 365.00
0020 001 315.54
0021 001 215.45
0022 001 365.00
0023 001 365.00
0024 001 351.71
0025 001 365.00
0026 001 190.93
0027 001 151.59
0028 001 364.18
0029 001 274.53
0030 001 365.00
0031 001 21.57
0032 001 365.00
0033 001 365.00
0034 001 333.65
0035 001 189.54
0036 001 365.00
0037 001 364.95
0038 001 365.00
0039 001 365.00
0040 001 365.00
0041 001 358.57
0042 001 315.55
0043 001 365.00
0044 001 313.23
0045 001 365.00
0046 001 365.00
0047 001 365.00
0048 001 365.00
0049 001 365.00
0050 001 365.00
0051 001 365.00
0052 001 365.00
0053 001 216.90
0054 001 365.00
0055 001 365.00
0056 001 365.00
0057 001 365.00
0058 001 265.40
0059 001 256.77
0060 001 365.00
0061 001 365.00
0062 001 133.41
0063 001 365.00
0064 001 345.91
0065 001 365.00
0066 001 365.00
0067 001 365.00
0068 001 234.56
0069 001 365.00
0070 001 365.00
0071 001 359.77
0072 001 251.16
0073 001 365.00
0074 001 365.00
0075 001 365.00
0076 001 362.62
0077 001 365.00
0078 001 193.88
0079 001 365.00
0080 001 365.00
0081 001 365.00
0082 001 365.00
0083 001 365.00
0084 001 365.00
0085 001 168.34
0086 001 365.00
0087 001 365.00
0088 001 365.00
0089 001 365.00
0090 001 365.00
0091 001 365.00
0092 001 361.44
0093 001 365.00
0094 001 365.00
0095 001 365.00
0096 001 365.00
0097 001 365.00
0098 001 365.00
0099 001 365.00
0100 001 349.69
0101 001 365.00
0102 001 352.89
0103 001 212.92
0104 001 212.92
0105 001 320.22
0106 001 276.46
0107 001 300.04
0108 001 295.05
0109 001 132.76
0110 001 170.51
0111 001 144.51
0112 001 234.03
0113 001 220.85
0114 001 164.46
0115 001 117.34
0116 001 134.33
0117 001 365.00
0118 001 365.00
0119 001 365.00
0120 001 365.00
0121 001 365.00
0122 001 187.93
0123 001 208.95
0124 001 194.84
0125 001 182.86
0126 001 140.63
0127 001 102.53
0128 001 245.09
0129 001 211.06
0130 001 182.50
0131 001 148.78
0132 001 197.66
0133 001 149.96
0134 001 365.00
0135 001 144.98
0136 001 346.32
0137 001 365.00
0138 001 335.16
0139 001 316.71
0140 001 304.17
0141 001 352.71
0142 001 365.00
0143 001 365.00
0144 001 365.00
0145 001 233.76
0146 001 311.76
0147 001 304.14
0148 001 334.58
0149 001 356.89
0150 001 365.00
0151 001 365.00
0152 001 227.84
0153 001 335.25
0154 001 304.17
0155 001 256.82
0156 001 271.45
0157 001 365.00
0158 001 356.73
0159 001 229.25
0160 001 316.90
0161 001 292.01
0162 001 299.56
0163 001 307.68
0164 001 358.01
0165 001 302.26
0166 001 365.00
0167 001 273.75
0168 001 286.30
0169 001 365.00
0170 001 272.14
0171 001 293.92
0172 001 304.17
0173 001 365.00
0174 001 300.71
0175 001 365.00
0176 001 365.00
0177 001 288.59
0178 001 304.17
0179 001 364.92
0180 001 267.78
0181 001 350.05
0182 001 273.51
0183 001 255.86
0184 001 361.38
0185 001 365.00
0186 001 279.53
0187 001 365.00
0188 001 365.00
0189 001 365.00
0190 001 267.85
0191 001 180.58
0192 001 330.27
0193 001 365.00
0194 001 365.00
0195 001 346.90
0196 001 365.00
0197 001 231.22
0198 001 244.28
0199 001 226.96
0200 001 304.17
0201 001 228.54
0202 001 321.74
0203 001 304.17
0204 001 294.26
0205 001 364.32
0206 001 213.14
0207 001 197.10
0208 001 365.00
0209 001 365.00
0210 001 363.53
0211 001 365.00
0212 001 365.00
0213 001 365.00
