# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual gdd5
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  07-Dec-2010 09:14:42 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 07-Dez-2010 09:14:26 (c)2010 lemmen
0001 001 215.35
0002 001 148.87
0003 001 258.16
0004 001 0.04
0005 001 288.82
0006 001 88.93
0007 001 84.57
0008 001 208.56
0009 001 256.30
0010 001 283.32
0011 001 154.40
0012 001 238.23
0013 001 308.28
0014 001 267.50
0015 001 175.07
0016 001 217.98
0017 001 299.68
0018 001 301.31
0019 001 205.50
0020 001 89.87
0021 001 67.45
0022 001 284.56
0023 001 289.37
0024 001 80.78
0025 001 259.42
0026 001 82.06
0027 001 45.43
0028 001 121.66
0029 001 79.21
0030 001 175.34
0031 001 0.14
0032 001 311.89
0033 001 288.34
0034 001 92.66
0035 001 24.85
0036 001 307.54
0037 001 268.17
0038 001 264.98
0039 001 95.22
0040 001 284.31
0041 001 149.66
0042 001 149.28
0043 001 275.31
0044 001 136.43
0045 001 312.56
0046 001 243.44
0047 001 277.45
0048 001 305.84
0049 001 210.67
0050 001 286.77
0051 001 313.43
0052 001 274.49
0053 001 116.39
0054 001 271.18
0055 001 277.80
0056 001 300.02
0057 001 265.15
0058 001 125.87
0059 001 74.11
0060 001 152.73
0061 001 304.46
0062 001 28.63
0063 001 297.57
0064 001 253.61
0065 001 268.84
0066 001 249.23
0067 001 314.75
0068 001 77.72
0069 001 180.88
0070 001 287.03
0071 001 116.29
0072 001 158.41
0073 001 310.93
0074 001 276.74
0075 001 320.64
0076 001 68.66
0077 001 306.17
0078 001 73.32
0079 001 296.38
0080 001 228.87
0081 001 181.41
0082 001 311.89
0083 001 218.60
0084 001 304.02
0085 001 51.55
0086 001 91.03
0087 001 228.20
0088 001 271.80
0089 001 269.75
0090 001 313.95
0091 001 227.30
0092 001 188.99
0093 001 153.11
0094 001 246.62
0095 001 229.90
0096 001 272.82
0097 001 309.07
0098 001 293.77
0099 001 292.23
0100 001 131.44
0101 001 242.79
0102 001 209.54
0103 001 75.36
0104 001 89.12
0105 001 114.39
0106 001 127.26
0107 001 123.35
0108 001 101.71
0109 001 41.06
0110 001 76.06
0111 001 61.10
0112 001 131.18
0113 001 108.08
0114 001 78.91
0115 001 44.06
0116 001 51.41
0117 001 208.16
0118 001 248.07
0119 001 223.32
0120 001 285.48
0121 001 262.19
0122 001 76.90
0123 001 57.51
0124 001 94.46
0125 001 59.88
0126 001 40.14
0127 001 24.33
0128 001 81.86
0129 001 95.22
0130 001 58.30
0131 001 50.86
0132 001 104.16
0133 001 36.43
0134 001 245.95
0135 001 32.56
0136 001 231.54
0137 001 267.59
0138 001 167.51
0139 001 218.48
0140 001 121.24
0141 001 188.08
0142 001 204.39
0143 001 267.80
0144 001 239.26
0145 001 125.05
0146 001 181.62
0147 001 172.85
0148 001 205.96
0149 001 268.06
0150 001 195.24
0151 001 280.57
0152 001 87.75
0153 001 169.28
0154 001 120.57
0155 001 130.40
0156 001 170.20
0157 001 256.07
0158 001 245.25
0159 001 135.72
0160 001 217.22
0161 001 150.39
0162 001 118.42
0163 001 128.31
0164 001 256.64
0165 001 124.10
0166 001 190.75
0167 001 169.39
0168 001 140.48
0169 001 281.83
0170 001 105.38
0171 001 126.33
0172 001 120.37
0173 001 207.78
0174 001 201.15
0175 001 199.72
0176 001 291.38
0177 001 176.10
0178 001 120.80
0179 001 193.14
0180 001 86.41
0181 001 171.71
0182 001 159.73
0183 001 175.58
0184 001 214.96
0185 001 266.67
0186 001 142.37
0187 001 278.22
0188 001 280.61
0189 001 268.11
0190 001 138.47
0191 001 84.06
0192 001 184.39
0193 001 224.74
0194 001 253.97
0195 001 199.02
0196 001 244.14
0197 001 101.61
0198 001 109.94
0199 001 122.24
0200 001 150.41
0201 001 82.10
0202 001 183.16
0203 001 149.79
0204 001 157.18
0205 001 193.49
0206 001 99.66
0207 001 58.31
0208 001 262.18
0209 001 227.05
0210 001 183.05
0211 001 262.25
0212 001 256.68
0213 001 289.24
