# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual npp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:52:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:51:21 (c)2010 lemmen
0001 001 3.98
0002 001 8.04
0003 001 3.39
0004 001 11.09
0005 001 2.50
0006 001 2.58
0007 001 7.67
0008 001 11.53
0009 001 11.13
0010 001 3.77
0011 001 23.56
0012 001 10.71
0013 001 12.31
0014 001 68.06
0015 001 3.05
0016 001 59.81
0017 001 64.75
0018 001 14.43
0019 001 53.48
0020 001 18.09
0021 001 41.42
0022 001 10.33
0023 001 10.12
0024 001 10.34
0025 001 29.38
0026 001 12.99
0027 001 36.19
0028 001 30.77
0029 001 25.08
0030 001 11.80
0031 001 15.06
0032 001 122.29
0033 001 44.43
0034 001 33.33
0035 001 23.57
0036 001 49.21
0037 001 123.14
0038 001 68.62
0039 001 10.36
0040 001 103.82
0041 001 105.21
0042 001 10.25
0043 001 14.93
0044 001 158.95
0045 001 91.61
0046 001 13.84
0047 001 63.45
0048 001 154.52
0049 001 123.80
0050 001 136.70
0051 001 83.08
0052 001 124.75
0053 001 101.40
0054 001 71.00
0055 001 115.02
0056 001 71.59
0057 001 105.23
0058 001 121.71
0059 001 134.16
0060 001 78.63
0061 001 129.12
0062 001 121.57
0063 001 164.17
0064 001 122.82
0065 001 90.25
0066 001 348.00
0067 001 98.56
0068 001 339.78
0069 001 75.37
0070 001 100.63
0071 001 344.83
0072 001 368.35
0073 001 321.79
0074 001 183.73
0075 001 183.20
0076 001 86.55
0077 001 214.03
0078 001 210.63
0079 001 205.93
0080 001 206.66
0081 001 209.27
0082 001 103.98
0083 001 282.37
0084 001 228.24
0085 001 215.17
0086 001 142.60
0087 001 355.92
0088 001 270.62
0089 001 346.00
0090 001 347.65
0091 001 379.29
0092 001 176.75
0093 001 183.20
0094 001 318.50
0095 001 348.88
0096 001 504.21
0097 001 190.25
0098 001 339.42
0099 001 297.32
0100 001 239.02
0101 001 500.32
0102 001 369.36
0103 001 219.42
0104 001 379.85
0105 001 254.90
0106 001 440.12
0107 001 491.43
0108 001 448.86
0109 001 276.87
0110 001 285.03
0111 001 319.24
0112 001 228.36
0113 001 211.77
0114 001 417.27
0115 001 334.05
0116 001 507.19
0117 001 267.99
0118 001 476.66
0119 001 503.99
0120 001 451.97
0121 001 277.70
0122 001 467.19
0123 001 184.65
0124 001 260.76
0125 001 330.52
0126 001 496.09
0127 001 504.75
0128 001 492.44
0129 001 460.17
0130 001 336.10
0131 001 337.57
0132 001 372.65
0133 001 490.65
0134 001 455.59
0135 001 340.23
0136 001 210.35
0137 001 396.38
0138 001 423.10
0139 001 447.98
0140 001 498.83
0141 001 497.08
0142 001 472.44
0143 001 268.18
0144 001 502.60
0145 001 445.51
0146 001 363.61
0147 001 260.63
0148 001 299.87
0149 001 338.96
0150 001 467.72
0151 001 483.56
0152 001 506.10
0153 001 615.15
0154 001 595.33
0155 001 506.90
0156 001 613.46
0157 001 263.42
0158 001 479.30
0159 001 271.71
0160 001 609.67
0161 001 620.03
0162 001 528.38
0163 001 570.70
0164 001 494.32
0165 001 515.10
0166 001 555.76
0167 001 386.39
0168 001 618.59
0169 001 589.99
0170 001 475.35
0171 001 496.55
0172 001 477.07
0173 001 539.58
0174 001 553.79
0175 001 477.16
0176 001 521.94
0177 001 574.59
0178 001 477.69
0179 001 501.76
0180 001 507.48
0181 001 492.42
0182 001 617.64
0183 001 596.39
0184 001 514.95
0185 001 512.90
0186 001 472.99
0187 001 529.88
0188 001 561.61
0189 001 605.90
0190 001 614.73
0191 001 526.16
0192 001 500.04
0193 001 514.92
0194 001 550.07
0195 001 564.99
0196 001 598.21
0197 001 526.76
0198 001 515.07
0199 001 490.10
0200 001 472.75
0201 001 629.56
0202 001 617.59
0203 001 471.87
0204 001 563.61
0205 001 564.05
0206 001 610.12
0207 001 508.13
0208 001 520.53
0209 001 705.65
0210 001 472.72
0211 001 501.20
0212 001 653.32
0213 001 730.95
0214 001 559.25
0215 001 593.84
0216 001 483.16
0217 001 671.62
0218 001 712.35
0219 001 604.36
0220 001 681.54
0221 001 760.19
0222 001 728.06
0223 001 688.83
0224 001 651.53
0225 001 655.73
0226 001 676.60
0227 001 726.95
0228 001 519.07
0229 001 675.86
0230 001 716.46
0231 001 582.50
0232 001 714.94
0233 001 708.92
0234 001 607.82
0235 001 694.89
0236 001 694.48
0237 001 742.90
0238 001 695.85
0239 001 629.66
0240 001 711.62
0241 001 707.37
0242 001 650.23
0243 001 731.14
0244 001 762.09
0245 001 726.75
0246 001 697.27
0247 001 743.26
0248 001 722.10
0249 001 724.22
0250 001 700.28
0251 001 680.67
0252 001 675.74
0253 001 672.25
0254 001 700.85
0255 001 638.10
0256 001 957.72
0257 001 862.21
0258 001 757.36
0259 001 706.01
0260 001 628.53
0261 001 635.82
0262 001 291.44
0263 001 624.99
0264 001 713.53
0265 001 756.86
0266 001 691.29
0267 001 667.96
0268 001 632.42
0269 001 742.04
0270 001 638.41
0271 001 672.80
0272 001 907.10
0273 001 782.29
0274 001 794.03
0275 001 629.45
0276 001 381.37
0277 001 637.52
0278 001 536.59
0279 001 883.23
0280 001 822.82
0281 001 739.57
0282 001 634.62
0283 001 720.47
0284 001 534.05
0285 001 404.07
0286 001 257.18
0287 001 571.06
0288 001 813.72
0289 001 261.61
0290 001 684.19
0291 001 744.24
0292 001 698.84
0293 001 610.06
0294 001 552.89
0295 001 845.04
0296 001 805.26
0297 001 707.36
0298 001 633.72
0299 001 475.56
0300 001 286.77
0301 001 275.63
0302 001 701.36
0303 001 645.20
0304 001 574.33
0305 001 539.64
0306 001 837.63
0307 001 780.44
0308 001 784.63
0309 001 719.33
0310 001 672.81
0311 001 432.92
0312 001 306.89
0313 001 308.84
0314 001 503.74
0315 001 617.13
0316 001 892.11
0317 001 863.40
0318 001 783.60
0319 001 846.64
0320 001 723.56
0321 001 653.72
0322 001 744.88
0323 001 347.00
0324 001 632.60
0325 001 635.61
0326 001 635.03
0327 001 802.41
0328 001 604.00
0329 001 810.69
0330 001 113.53
0331 001 754.91
0332 001 577.83
0333 001 501.33
0334 001 820.72
0335 001 750.13
0336 001 619.58
0337 001 786.02
0338 001 662.37
0339 001 463.65
0340 001 550.59
0341 001 132.30
0342 001 463.02
0343 001 631.76
0344 001 776.01
0345 001 711.32
0346 001 747.12
0347 001 721.20
0348 001 457.04
0349 001 175.61
0350 001 577.84
0351 001 465.06
0352 001 552.05
0353 001 675.36
0354 001 120.86
0355 001 652.56
0356 001 493.46
0357 001 594.44
0358 001 1021.90
0359 001 116.86
0360 001 833.90
0361 001 725.05
0362 001 534.62
0363 001 168.55
0364 001 575.74
0365 001 547.84
0366 001 466.37
0367 001 474.59
0368 001 729.96
0369 001 747.73
0370 001 640.12
0371 001 736.23
0372 001 527.55
0373 001 159.36
0374 001 829.41
0375 001 921.64
0376 001 660.36
0377 001 614.77
0378 001 581.05
0379 001 217.47
0380 001 537.86
0381 001 379.62
0382 001 660.20
0383 001 693.15
0384 001 537.91
0385 001 215.32
0386 001 646.83
0387 001 684.33
0388 001 522.40
0389 001 660.17
0390 001 588.24
0391 001 465.07
0392 001 136.25
0393 001 537.79
0394 001 488.30
0395 001 661.81
0396 001 206.54
0397 001 662.93
0398 001 537.77
0399 001 612.46
0400 001 905.85
0401 001 260.87
0402 001 1010.59
0403 001 831.57
0404 001 771.77
0405 001 599.11
0406 001 892.27
0407 001 431.68
0408 001 225.73
0409 001 529.84
0410 001 817.81
0411 001 536.16
0412 001 340.10
0413 001 429.84
0414 001 592.80
0415 001 814.64
0416 001 407.39
0417 001 879.79
0418 001 471.87
0419 001 343.65
0420 001 769.37
0421 001 1060.97
0422 001 807.42
0423 001 831.82
0424 001 296.07
0425 001 985.99
0426 001 374.19
0427 001 447.51
0428 001 456.31
0429 001 994.26
0430 001 989.10
0431 001 814.21
0432 001 445.90
0433 001 1054.52
0434 001 339.48
0435 001 461.19
0436 001 1074.66
0437 001 845.03
0438 001 819.78
0439 001 308.86
0440 001 254.73
0441 001 445.90
0442 001 448.16
0443 001 442.35
0444 001 746.94
0445 001 1088.79
0446 001 1071.23
0447 001 886.30
0448 001 939.29
0449 001 1026.46
0450 001 318.81
0451 001 702.42
0452 001 944.53
0453 001 290.79
0454 001 1026.46
0455 001 845.03
0456 001 1063.04
0457 001 1087.68
0458 001 456.55
0459 001 299.91
0460 001 230.04
0461 001 653.60
0462 001 397.76
0463 001 491.02
0464 001 995.68
0465 001 887.42
0466 001 651.54
0467 001 962.35
0468 001 1111.37
0469 001 963.49
0470 001 296.53
0471 001 826.87
0472 001 954.99
0473 001 216.52
0474 001 1071.86
0475 001 1032.79
0476 001 1136.36
0477 001 991.85
0478 001 317.97
0479 001 962.72
0480 001 582.23
0481 001 1088.67
0482 001 915.30
0483 001 941.77
0484 001 1077.01
0485 001 391.53
0486 001 834.26
0487 001 1131.94
0488 001 961.84
0489 001 636.06
0490 001 966.48
0491 001 1051.10
0492 001 1074.14
0493 001 1116.26
0494 001 1136.36
0495 001 962.50
0496 001 1045.25
0497 001 629.95
0498 001 905.69
0499 001 965.23
0500 001 965.91
0501 001 1121.70
0502 001 938.50
0503 001 1149.18
0504 001 1019.59
0505 001 1097.61
0506 001 717.26
0507 001 785.06
0508 001 1174.19
0509 001 1084.44
0510 001 1096.79
0511 001 1197.11
0512 001 1074.86
0513 001 968.60
0514 001 1152.59
0515 001 984.92
0516 001 1136.58
0517 001 1187.69
0518 001 1198.51
0519 001 1081.97
0520 001 1163.66
0521 001 1006.62
0522 001 985.88
0523 001 883.68
0524 001 1135.53
0525 001 1134.66
0526 001 1085.42
0527 001 967.72
0528 001 1067.57
0529 001 1087.32
0530 001 987.65
0531 001 1043.49
0532 001 1153.52
0533 001 1121.74
0534 001 1221.21
0535 001 1122.51
0536 001 1078.31
0537 001 1212.32
0538 001 1100.07
0539 001 1127.22
0540 001 1124.70
0541 001 1081.74
0542 001 1096.73
0543 001 1170.63
0544 001 1094.12
0545 001 1033.18
0546 001 1038.43
0547 001 1150.33
0548 001 1156.49
0549 001 1086.78
0550 001 1144.31
0551 001 989.27
0552 001 1115.63
0553 001 1118.86
0554 001 1156.40
0555 001 914.25
0556 001 887.67
0557 001 1116.86
0558 001 1124.16
0559 001 819.71
0560 001 1057.72
0561 001 1138.80
0562 001 901.00
0563 001 1102.47
0564 001 1150.76
0565 001 720.24
0566 001 1118.07
0567 001 1014.67
0568 001 750.56
