# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual prec
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:52:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:51:21 (c)2010 lemmen
0001 001 108.92
0002 001 86.04
0003 001 278.23
0004 001 179.88
0005 001 120.67
0006 001 461.17
0007 001 207.49
0008 001 75.96
0009 001 180.96
0010 001 379.62
0011 001 391.63
0012 001 457.19
0013 001 531.94
0014 001 239.96
0015 001 212.64
0016 001 239.12
0017 001 229.83
0018 001 562.50
0019 001 265.38
0020 001 399.90
0021 001 415.70
0022 001 406.75
0023 001 417.06
0024 001 436.55
0025 001 402.47
0026 001 545.30
0027 001 418.56
0028 001 410.81
0029 001 390.59
0030 001 398.93
0031 001 537.55
0032 001 520.31
0033 001 307.31
0034 001 436.31
0035 001 548.44
0036 001 303.72
0037 001 580.29
0038 001 251.15
0039 001 125.50
0040 001 352.72
0041 001 296.75
0042 001 409.31
0043 001 546.55
0044 001 442.88
0045 001 531.86
0046 001 528.23
0047 001 247.24
0048 001 532.50
0049 001 231.64
0050 001 503.98
0051 001 676.17
0052 001 276.90
0053 001 352.66
0054 001 591.23
0055 001 230.35
0056 001 672.83
0057 001 663.87
0058 001 506.43
0059 001 487.16
0060 001 546.71
0061 001 507.89
0062 001 561.91
0063 001 388.13
0064 001 336.77
0065 001 558.28
0066 001 820.27
0067 001 593.51
0068 001 844.01
0069 001 724.08
0070 001 663.19
0071 001 831.25
0072 001 737.95
0073 001 527.83
0074 001 579.08
0075 001 569.12
0076 001 615.38
0077 001 485.82
0078 001 457.96
0079 001 404.12
0080 001 398.34
0081 001 400.85
0082 001 634.99
0083 001 669.51
0084 001 491.31
0085 001 658.04
0086 001 578.73
0087 001 791.45
0088 001 622.15
0089 001 826.97
0090 001 821.28
0091 001 705.87
0092 001 737.26
0093 001 566.06
0094 001 662.42
0095 001 817.76
0096 001 830.25
0097 001 626.65
0098 001 590.20
0099 001 494.37
0100 001 532.96
0101 001 954.57
0102 001 732.32
0103 001 449.66
0104 001 703.78
0105 001 583.11
0106 001 764.53
0107 001 1084.95
0108 001 739.28
0109 001 771.88
0110 001 1017.34
0111 001 1042.43
0112 001 598.81
0113 001 412.06
0114 001 872.83
0115 001 838.85
0116 001 928.96
0117 001 981.76
0118 001 813.38
0119 001 846.69
0120 001 1175.75
0121 001 750.92
0122 001 855.08
0123 001 601.90
0124 001 915.81
0125 001 904.27
0126 001 1160.57
0127 001 966.40
0128 001 1130.94
0129 001 1332.19
0130 001 827.01
0131 001 1012.43
0132 001 1066.70
0133 001 1093.78
0134 001 929.47
0135 001 783.33
0136 001 449.36
0137 001 1044.39
0138 001 845.19
0139 001 767.72
0140 001 980.29
0141 001 1016.08
0142 001 1312.33
0143 001 982.19
0144 001 798.71
0145 001 1067.74
0146 001 1137.13
0147 001 914.66
0148 001 1036.10
0149 001 922.40
0150 001 777.37
0151 001 859.06
0152 001 947.54
0153 001 942.65
0154 001 1447.05
0155 001 1689.95
0156 001 1060.28
0157 001 836.19
0158 001 824.06
0159 001 798.00
0160 001 945.87
0161 001 832.57
0162 001 1521.57
0163 001 1025.97
0164 001 975.11
0165 001 1286.50
0166 001 1124.84
0167 001 1112.65
0168 001 1096.86
0169 001 1540.50
0170 001 939.65
0171 001 802.35
0172 001 1084.81
0173 001 1459.69
0174 001 1225.29
0175 001 1040.38
0176 001 1281.39
0177 001 1057.79
0178 001 882.62
0179 001 781.30
0180 001 1389.16
0181 001 1076.68
0182 001 954.73
0183 001 903.97
0184 001 810.22
0185 001 881.93
0186 001 1050.57
0187 001 1329.15
0188 001 979.77
0189 001 914.99
0190 001 986.01
0191 001 1243.92
0192 001 1331.58
0193 001 1297.69
0194 001 1415.03
0195 001 1159.30
0196 001 1025.99
0197 001 1690.08
0198 001 1442.08
0199 001 828.45
0200 001 1055.21
0201 001 1124.97
0202 001 926.65
0203 001 911.29
0204 001 1050.20
0205 001 1108.33
0206 001 923.18
0207 001 1361.42
0208 001 1281.29
0209 001 1013.66
0210 001 933.38
0211 001 783.57
0212 001 893.48
0213 001 1096.87
0214 001 1043.20
0215 001 1473.10
0216 001 857.15
0217 001 928.53
0218 001 1074.93
0219 001 1086.70
0220 001 1216.30
0221 001 1325.26
0222 001 1088.67
0223 001 961.59
0224 001 891.77
0225 001 899.12
0226 001 974.40
0227 001 1081.36
0228 001 674.53
0229 001 1095.88
0230 001 1017.22
0231 001 767.31
0232 001 1049.80
0233 001 1014.59
0234 001 980.51
0235 001 1066.36
0236 001 972.35
0237 001 1099.13
0238 001 980.84
0239 001 850.75
0240 001 1006.56
0241 001 1391.16
0242 001 893.26
0243 001 1306.41
0244 001 1311.86
0245 001 1083.01
0246 001 978.30
0247 001 1181.42
0248 001 1041.90
0249 001 1199.06
0250 001 983.80
0251 001 1197.99
0252 001 1093.18
0253 001 929.75
0254 001 1017.99
0255 001 866.18
0256 001 1799.80
0257 001 1344.93
0258 001 1242.43
0259 001 995.97
0260 001 848.19
0261 001 861.15
0262 001 335.58
0263 001 842.07
0264 001 1184.82
0265 001 1101.07
0266 001 966.57
0267 001 921.77
0268 001 854.95
0269 001 1069.81
0270 001 865.89
0271 001 967.48
0272 001 1469.33
0273 001 1158.70
0274 001 1182.68
0275 001 849.58
0276 001 456.25
0277 001 864.29
0278 001 689.97
0279 001 1399.72
0280 001 1250.99
0281 001 1064.19
0282 001 858.96
0283 001 1025.47
0284 001 687.92
0285 001 489.90
0286 001 291.81
0287 001 747.75
0288 001 1227.36
0289 001 297.76
0290 001 953.31
0291 001 1074.39
0292 001 980.95
0293 001 814.80
0294 001 716.76
0295 001 1302.44
0296 001 1209.05
0297 001 997.91
0298 001 857.31
0299 001 597.20
0300 001 330.69
0301 001 315.16
0302 001 985.93
0303 001 880.41
0304 001 753.73
0305 001 694.98
0306 001 1285.32
0307 001 1154.67
0308 001 1162.46
0309 001 1023.14
0310 001 931.66
0311 001 531.35
0312 001 355.53
0313 001 358.12
0314 001 641.21
0315 001 827.51
0316 001 1422.96
0317 001 1347.80
0318 001 1159.32
0319 001 1306.09
0320 001 1031.72
0321 001 895.03
0322 001 1075.70
0323 001 424.44
0324 001 855.43
0325 001 860.88
0326 001 859.72
0327 001 1206.64
0328 001 804.44
0329 001 1221.80
0330 001 122.10
0331 001 1096.18
0332 001 758.75
0333 001 633.63
0334 001 1243.84
0335 001 1102.37
0336 001 833.20
0337 001 1164.14
0338 001 911.17
0339 001 575.63
0340 001 712.94
0341 001 143.07
0342 001 574.67
0343 001 878.99
0344 001 1149.49
0345 001 1005.85
0346 001 1080.05
0347 001 1025.84
0348 001 568.79
0349 001 193.31
0350 001 758.75
0351 001 592.26
0352 001 716.66
0353 001 936.50
0354 001 130.21
0355 001 892.05
0356 001 622.64
0357 001 791.88
0358 001 2027.53
0359 001 125.92
0360 001 1275.48
0361 001 1033.89
0362 001 687.56
0363 001 190.35
0364 001 755.23
0365 001 708.43
0366 001 579.96
0367 001 592.15
0368 001 1043.91
0369 001 1082.21
0370 001 869.16
0371 001 1065.42
0372 001 675.89
0373 001 174.67
0374 001 1687.19
0375 001 1508.70
0376 001 906.67
0377 001 825.77
0378 001 767.27
0379 001 242.90
0380 001 692.02
0381 001 453.49
0382 001 906.37
0383 001 971.58
0384 001 692.09
0385 001 244.55
0386 001 883.56
0387 001 953.97
0388 001 666.97
0389 001 906.32
0390 001 778.84
0391 001 603.15
0392 001 147.63
0393 001 691.90
0394 001 616.06
0395 001 909.53
0396 001 230.08
0397 001 911.52
0398 001 691.87
0399 001 819.06
0400 001 1464.31
0401 001 296.70
0402 001 1808.67
0403 001 1300.25
0404 001 1133.67
0405 001 798.63
0406 001 1686.75
0407 001 528.73
0408 001 267.29
0409 001 678.96
0410 001 1238.47
0411 001 689.25
0412 001 400.14
0413 001 525.20
0414 001 803.00
0415 001 1229.50
0416 001 492.99
0417 001 1389.75
0418 001 590.20
0419 001 404.91
0420 001 1127.61
0421 001 1953.54
0422 001 1212.75
0423 001 1272.41
0424 001 341.43
0425 001 1741.44
0426 001 446.79
0427 001 551.29
0428 001 610.19
0429 001 1720.92
0430 001 1717.57
0431 001 1228.48
0432 001 548.85
0433 001 1933.70
0434 001 401.85
0435 001 571.97
0436 001 2216.85
0437 001 1302.13
0438 001 1241.56
0439 001 359.04
0440 001 295.51
0441 001 548.85
0442 001 552.25
0443 001 543.59
0444 001 1089.05
0445 001 2182.48
0446 001 1996.29
0447 001 1410.67
0448 001 1684.82
0449 001 1828.64
0450 001 371.03
0451 001 1030.41
0452 001 1567.94
0453 001 334.56
0454 001 1828.64
0455 001 1302.13
0456 001 2242.65
0457 001 2057.87
0458 001 564.76
0459 001 347.37
0460 001 260.64
0461 001 943.88
0462 001 482.43
0463 001 651.31
0464 001 1809.55
0465 001 1413.61
0466 001 895.64
0467 001 1620.91
0468 001 2192.87
0469 001 1624.40
0470 001 343.32
0471 001 1258.32
0472 001 1703.87
0473 001 247.04
0474 001 2027.60
0475 001 2108.44
0476 001 2268.92
0477 001 1713.95
0478 001 372.14
0479 001 1622.06
0480 001 767.97
0481 001 2512.28
0482 001 1547.06
0483 001 1559.91
0484 001 2029.21
0485 001 470.35
0486 001 1277.08
0487 001 2248.47
0488 001 1619.39
0489 001 883.22
0490 001 1633.52
0491 001 1940.78
0492 001 2194.69
0493 001 2385.12
0494 001 2268.92
0495 001 1621.39
0496 001 1895.79
0497 001 876.25
0498 001 1458.53
0499 001 1629.71
0500 001 1712.33
0501 001 2202.42
0502 001 1555.56
0503 001 2423.47
0504 001 1809.03
0505 001 2503.08
0506 001 1017.84
0507 001 1182.73
0508 001 2715.61
0509 001 2442.90
0510 001 2474.69
0511 001 2975.09
0512 001 2038.86
0513 001 1640.49
0514 001 2351.44
0515 001 1699.00
0516 001 2680.51
0517 001 2841.56
0518 001 2942.57
0519 001 2435.61
0520 001 2595.89
0521 001 1918.73
0522 001 1693.93
0523 001 1399.89
0524 001 2681.37
0525 001 2261.47
0526 001 2361.65
0527 001 1637.26
0528 001 2076.56
0529 001 2056.49
0530 001 1704.85
0531 001 1893.84
0532 001 2697.55
0533 001 2391.24
0534 001 2758.21
0535 001 2207.21
0536 001 2154.21
0537 001 2714.39
0538 001 2108.96
0539 001 2401.52
0540 001 2215.99
0541 001 2034.16
0542 001 2122.25
0543 001 2437.48
0544 001 2187.80
0545 001 1862.72
0546 001 1875.97
0547 001 2674.51
0548 001 2820.53
0549 001 2054.24
0550 001 2317.81
0551 001 1704.67
0552 001 2175.43
0553 001 2189.61
0554 001 2676.03
0555 001 1481.98
0556 001 1410.35
0557 001 2182.37
0558 001 2213.17
0559 001 1241.57
0560 001 2123.28
0561 001 2280.46
0562 001 1446.28
0563 001 2328.80
0564 001 2497.56
0565 001 1024.22
0566 001 2186.33
0567 001 1788.60
0568 001 1091.27
0569 001 699.06
0570 001 1209.76
0571 001 2686.56
0572 001 717.54
0573 001 2025.05
0574 001 1439.66
0575 001 1297.45
