# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual temp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:52:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:51:21 (c)2010 lemmen
0001 001 -38.64
0002 001 -32.75
0003 001 -39.94
0004 001 -29.95
0005 001 -42.47
0006 001 -42.21
0007 001 -33.02
0008 001 -29.58
0009 001 -29.96
0010 001 -39.06
0011 001 -23.52
0012 001 -30.19
0013 001 -29.01
0014 001 -14.31
0015 001 -40.80
0016 001 -15.45
0017 001 -14.75
0018 001 -27.67
0019 001 -16.45
0020 001 -25.82
0021 001 -18.66
0022 001 -30.50
0023 001 -30.67
0024 001 -30.49
0025 001 -21.62
0026 001 -28.58
0027 001 -19.82
0028 001 -21.21
0029 001 -22.98
0030 001 -29.40
0031 001 -27.30
0032 001 -9.05
0033 001 -18.10
0034 001 -20.52
0035 001 -23.82
0036 001 -17.16
0037 001 -8.99
0038 001 -14.24
0039 001 -30.64
0040 001 -10.55
0041 001 -10.43
0042 001 -30.56
0043 001 -27.38
0044 001 -6.62
0045 001 -11.68
0046 001 -28.02
0047 001 -14.93
0048 001 -6.88
0049 001 -8.94
0050 001 -8.03
0051 001 -12.55
0052 001 -8.87
0053 001 -10.76
0054 001 -13.94
0055 001 -9.62
0056 001 -13.87
0057 001 -10.42
0058 001 -9.10
0059 001 -8.21
0060 001 -13.04
0061 001 -8.56
0062 001 -9.11
0063 001 -6.31
0064 001 -9.01
0065 001 -11.81
0066 001 1.29
0067 001 -11.02
0068 001 1.02
0069 001 -13.41
0070 001 -10.83
0071 001 1.19
0072 001 1.92
0073 001 0.43
0074 001 -5.24
0075 001 -5.26
0076 001 -12.20
0077 001 -3.75
0078 001 -3.91
0079 001 -4.13
0080 001 -4.10
0081 001 -3.97
0082 001 -10.53
0083 001 -0.96
0084 001 -3.12
0085 001 -3.71
0086 001 -7.64
0087 001 1.54
0088 001 -1.39
0089 001 1.22
0090 001 1.28
0091 001 2.25
0092 001 -5.61
0093 001 -5.27
0094 001 0.32
0095 001 1.32
0096 001 5.68
0097 001 -4.90
0098 001 1.01
0099 001 -0.42
0100 001 -2.66
0101 001 5.58
0102 001 1.95
0103 001 -3.51
0104 001 2.27
0105 001 -2.01
0106 001 3.99
0107 001 5.35
0108 001 4.22
0109 001 -1.15
0110 001 -0.86
0111 001 0.35
0112 001 -3.11
0113 001 -3.86
0114 001 3.35
0115 001 0.83
0116 001 5.75
0117 001 -1.49
0118 001 4.96
0119 001 5.67
0120 001 4.31
0121 001 -1.12
0122 001 4.72
0123 001 -5.19
0124 001 -1.77
0125 001 0.72
0126 001 5.47
0127 001 5.69
0128 001 5.37
0129 001 4.53
0130 001 0.91
0131 001 0.95
0132 001 2.05
0133 001 5.33
0134 001 4.40
0135 001 1.04
0136 001 -3.92
0137 001 2.75
0138 001 3.51
0139 001 4.20
0140 001 5.54
0141 001 5.49
0142 001 4.85
0143 001 -1.48
0144 001 5.64
0145 001 4.13
0146 001 1.78
0147 001 -1.78
0148 001 -0.33
0149 001 1.00
0150 001 4.73
0151 001 5.15
0152 001 5.72
0153 001 8.38
0154 001 7.91
0155 001 5.74
0156 001 8.34
0157 001 -1.67
0158 001 5.03
0159 001 -1.35
0160 001 8.26
0161 001 8.57
0162 001 6.28
0163 001 7.31
0164 001 5.42
0165 001 5.95
0166 001 6.96
0167 001 2.46
0168 001 8.47
0169 001 7.79
0170 001 4.93
0171 001 5.48
0172 001 4.97
0173 001 6.56
0174 001 6.91
0175 001 4.98
0176 001 6.12
0177 001 7.42
0178 001 4.99
0179 001 5.61
0180 001 5.76
0181 001 5.37
0182 001 8.48
0183 001 7.94
0184 001 5.95
0185 001 5.90
0186 001 4.87
0187 001 6.32
0188 001 7.10
0189 001 8.17
0190 001 8.37
0191 001 6.23
0192 001 5.57
0193 001 5.95
0194 001 6.82
0195 001 7.18
0196 001 7.98
0197 001 6.23
0198 001 5.95
0199 001 5.31
0200 001 4.86
0201 001 8.72
0202 001 8.48
0203 001 4.84
0204 001 7.15
0205 001 7.16
0206 001 8.27
0207 001 5.78
0208 001 6.09
0209 001 11.26
0210 001 4.86
0211 001 5.60
0212 001 11.74
0213 001 11.07
0214 001 7.05
0215 001 7.88
0216 001 5.13
0217 001 11.68
0218 001 10.65
0219 001 8.13
0220 001 9.93
0221 001 11.75
0222 001 11.16
0223 001 10.84
0224 001 11.13
0225 001 11.23
0226 001 10.14
0227 001 10.98
0228 001 10.50
0229 001 9.80
0230 001 11.41
0231 001 10.84
0232 001 10.75
0233 001 11.49
0234 001 8.21
0235 001 10.37
0236 001 11.61
0237 001 11.52
0238 001 11.30
0239 001 10.67
0240 001 11.35
0241 001 10.53
0242 001 10.95
0243 001 11.08
0244 001 11.79
0245 001 11.10
0246 001 10.88
0247 001 11.36
0248 001 11.10
0249 001 10.92
0250 001 10.91
0251 001 9.91
0252 001 9.80
0253 001 11.68
0254 001 11.60
0255 001 11.33
0256 001 16.53
0257 001 16.21
0258 001 11.68
0259 001 11.37
0260 001 13.48
0261 001 13.15
0262 001 15.15
0263 001 13.61
0264 001 10.67
0265 001 15.17
0266 001 14.32
0267 001 10.74
0268 001 14.71
0269 001 14.72
0270 001 14.20
0271 001 10.78
0272 001 16.80
0273 001 15.49
0274 001 14.46
