# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual gdd5
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:54:13 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0001 001 0.00
0002 001 0.00
0003 001 0.00
0004 001 0.00
0005 001 0.00
0006 001 0.00
0007 001 0.00
0008 001 0.00
0009 001 0.00
0010 001 0.00
0011 001 0.00
0012 001 0.00
0013 001 0.00
0014 001 0.00
0015 001 0.00
0016 001 0.00
0017 001 0.00
0018 001 0.00
0019 001 0.00
0020 001 0.00
0021 001 0.00
0022 001 0.00
0023 001 0.00
0024 001 0.00
0025 001 0.00
0026 001 0.00
0027 001 0.00
0028 001 0.00
0029 001 0.00
0030 001 0.00
0031 001 0.00
0032 001 0.00
0033 001 0.00
0034 001 0.00
0035 001 0.00
0036 001 0.00
0037 001 0.00
0038 001 0.00
0039 001 0.00
0040 001 0.00
0041 001 0.00
0042 001 0.00
0043 001 0.00
0044 001 0.00
0045 001 0.00
0046 001 0.00
0047 001 0.00
0048 001 0.00
0049 001 0.00
0050 001 0.00
0051 001 0.00
0052 001 0.00
0053 001 0.00
0054 001 0.00
0055 001 0.00
0056 001 0.00
0057 001 0.00
0058 001 0.00
0059 001 0.00
0060 001 0.00
0061 001 0.00
0062 001 0.00
0063 001 0.00
0064 001 0.00
0065 001 0.00
0066 001 0.00
0067 001 0.00
0068 001 0.00
0069 001 0.00
0070 001 0.00
0071 001 0.00
0072 001 10.91
0073 001 16.23
0074 001 0.00
0075 001 0.00
0076 001 0.00
0077 001 0.00
0078 001 0.00
0079 001 0.00
0080 001 0.00
0081 001 0.00
0082 001 0.00
0083 001 0.00
0084 001 0.00
0085 001 0.00
0086 001 0.00
0087 001 4.74
0088 001 0.00
0089 001 0.00
0090 001 0.00
0091 001 16.40
0092 001 0.00
0093 001 0.00
0094 001 0.00
0095 001 0.00
0096 001 68.11
0097 001 0.00
0098 001 16.69
0099 001 7.27
0100 001 0.00
0101 001 67.34
0102 001 11.35
0103 001 0.00
0104 001 17.24
0105 001 0.00
0106 001 35.28
0107 001 61.98
0108 001 47.90
0109 001 0.00
0110 001 0.00
0111 001 0.00
0112 001 0.00
0113 001 0.00
0114 001 24.09
0115 001 0.00
0116 001 69.31
0117 001 0.00
0118 001 48.85
0119 001 68.09
0120 001 46.74
0121 001 0.00
0122 001 52.13
0123 001 0.00
0124 001 0.00
0125 001 0.00
0126 001 66.15
0127 001 67.03
0128 001 60.10
0129 001 48.22
0130 001 0.00
0131 001 0.00
0132 001 4.51
0133 001 61.63
0134 001 48.72
0135 001 0.00
0136 001 0.00
0137 001 12.11
0138 001 26.95
0139 001 37.93
0140 001 67.01
0141 001 62.46
0142 001 52.54
0143 001 0.00
0144 001 63.93
0145 001 45.45
0146 001 0.00
0147 001 0.00
0148 001 0.00
0149 001 0.00
0150 001 44.64
0151 001 52.52
0152 001 68.24
0153 001 110.13
0154 001 104.85
0155 001 64.18
0156 001 110.38
0157 001 0.00
0158 001 50.11
0159 001 0.00
0160 001 109.00
0161 001 112.66
0162 001 74.53
0163 001 94.04
0164 001 58.35
0165 001 75.79
0166 001 92.94
0167 001 7.01
0168 001 111.72
0169 001 103.34
0170 001 59.24
0171 001 63.23
0172 001 49.50
0173 001 88.02
0174 001 92.33
0175 001 49.40
0176 001 80.85
0177 001 98.83
0178 001 57.61
0179 001 64.27
0180 001 70.01
0181 001 63.44
0182 001 111.63
0183 001 105.43
0184 001 66.94
0185 001 66.25
0186 001 46.83
0187 001 85.17
0188 001 94.74
0189 001 107.52
0190 001 110.03
0191 001 72.99
0192 001 66.39
0193 001 75.51
0194 001 91.18
0195 001 95.88
0196 001 105.77
0197 001 73.97
0198 001 67.86
0199 001 61.93
0200 001 46.83
0201 001 114.93
0202 001 111.67
0203 001 54.08
0204 001 95.39
0205 001 95.55
0206 001 108.71
0207 001 69.84
0208 001 79.82
0209 001 144.37
0210 001 56.03
0211 001 64.16
0212 001 150.18
0213 001 141.97
0214 001 94.01
0215 001 104.43
0216 001 60.25
0217 001 149.48
0218 001 137.55
0219 001 107.36
0220 001 128.69
0221 001 150.21
0222 001 143.09
0223 001 139.79
0224 001 142.98
0225 001 144.10
0226 001 131.31
0227 001 140.79
0228 001 133.07
0229 001 127.32
0230 001 146.23
0231 001 139.33
0232 001 138.78
0233 001 147.43
0234 001 108.39
0235 001 133.90
0236 001 148.61
0237 001 147.67
0238 001 144.94
0239 001 137.55
0240 001 145.68
0241 001 135.96
0242 001 140.44
0243 001 142.37
0244 001 150.78
0245 001 142.33
0246 001 140.31
0247 001 145.74
0248 001 142.67
0249 001 140.37
0250 001 140.33
0251 001 128.48
0252 001 127.29
0253 001 149.46
0254 001 148.58
0255 001 145.79
0256 001 208.34
0257 001 204.27
0258 001 149.54
0259 001 145.79
0260 001 170.97
0261 001 167.14
0262 001 191.55
0263 001 172.84
0264 001 137.57
0265 001 191.33
0266 001 181.19
0267 001 138.41
0268 001 185.74
0269 001 186.03
0270 001 179.95
0271 001 138.79
0272 001 211.28
0273 001 195.47
0274 001 182.91
0275 001 169.13
0276 001 188.37
0277 001 179.88
0278 001 174.27
0279 001 207.74
0280 001 186.82
0281 001 147.21
0282 001 166.50
0283 001 182.79
0284 001 171.89
0285 001 166.79
0286 001 165.67
0287 001 174.22
0288 001 196.51
0289 001 195.62
0290 001 187.66
0291 001 184.35
0292 001 181.37
0293 001 177.82
0294 001 171.62
0295 001 185.02
0296 001 183.37
0297 001 181.53
0298 001 166.27
0299 001 175.28
0300 001 188.79
0301 001 190.10
0302 001 188.29
0303 001 173.49
0304 001 171.95
0305 001 173.77
0306 001 200.34
0307 001 195.41
0308 001 189.41
0309 001 180.90
0310 001 172.99
0311 001 177.97
0312 001 192.97
0313 001 188.39
0314 001 170.66
0315 001 172.62
0316 001 209.21
0317 001 204.46
0318 001 182.61
0319 001 225.16
0320 001 187.06
0321 001 180.31
0322 001 192.18
0323 001 215.98
0324 001 179.51
0325 001 214.67
0326 001 166.60
0327 001 221.74
0328 001 215.49
0329 001 183.60
0330 001 276.23
0331 001 222.55
0332 001 222.35
0333 001 202.01
0334 001 221.91
0335 001 221.88
0336 001 206.77
0337 001 230.62
0338 001 219.59
0339 001 205.59
0340 001 203.14
0341 001 233.05
0342 001 205.46
0343 001 186.29
0344 001 245.92
0345 001 228.93
0346 001 223.69
0347 001 220.19
0348 001 208.44
0349 001 284.59
0350 001 222.35
0351 001 197.19
0352 001 209.83
0353 001 219.72
0354 001 252.47
0355 001 219.49
0356 001 205.13
0357 001 222.30
0358 001 244.01
0359 001 276.68
0360 001 223.56
0361 001 220.46
0362 001 204.01
0363 001 228.22
0364 001 222.02
0365 001 217.67
0366 001 205.37
0367 001 207.25
0368 001 258.79
0369 001 226.60
0370 001 215.95
0371 001 249.25
0372 001 241.04
0373 001 282.41
0374 001 226.03
0375 001 268.52
0376 001 258.78
0377 001 239.65
0378 001 242.13
0379 001 326.17
0380 001 242.32
0381 001 237.58
0382 001 257.66
0383 001 245.25
0384 001 246.92
0385 001 211.63
0386 001 220.23
0387 001 254.61
0388 001 241.01
0389 001 257.68
0390 001 210.46
0391 001 249.85
0392 001 273.96
0393 001 235.48
0394 001 203.24
0395 001 257.26
0396 001 319.14
0397 001 246.80
0398 001 233.35
0399 001 232.82
0400 001 270.15
0401 001 207.81
0402 001 259.72
0403 001 268.77
0404 001 277.75
0405 001 240.73
0406 001 202.97
0407 001 247.47
0408 001 245.77
0409 001 254.81
0410 001 287.06
0411 001 234.25
0412 001 219.70
0413 001 237.14
0414 001 300.28
0415 001 276.13
0416 001 232.00
0417 001 283.38
0418 001 249.92
0419 001 219.73
0420 001 255.91
0421 001 285.84
0422 001 287.77
0423 001 286.29
0424 001 253.31
0425 001 274.52
0426 001 351.97
0427 001 263.54
0428 001 281.14
0429 001 303.12
0430 001 292.70
0431 001 276.13
0432 001 244.43
0433 001 307.88
0434 001 242.57
0435 001 270.83
0436 001 270.38
0437 001 314.10
0438 001 276.15
0439 001 253.89
0440 001 284.46
0441 001 244.43
0442 001 263.97
0443 001 260.06
0444 001 286.20
0445 001 285.96
0446 001 305.82
0447 001 313.20
0448 001 244.97
0449 001 311.33
0450 001 253.94
0451 001 282.26
0452 001 313.12
0453 001 253.17
0454 001 311.33
0455 001 314.10
0456 001 257.00
0457 001 303.80
0458 001 269.63
0459 001 253.64
0460 001 270.97
0461 001 282.72
0462 001 259.55
0463 001 305.81
0464 001 310.18
0465 001 313.17
0466 001 337.60
0467 001 319.62
0468 001 263.97
0469 001 332.61
0470 001 258.21
0471 001 319.44
0472 001 249.62
0473 001 287.64
0474 001 276.46
0475 001 232.21
0476 001 302.47
0477 001 303.76
0478 001 242.20
0479 001 308.55
0480 001 283.03
0481 001 259.00
0482 001 314.59
0483 001 328.61
0484 001 266.83
0485 001 284.08
0486 001 318.90
0487 001 320.70
0488 001 334.39
0489 001 290.09
0490 001 329.36
0491 001 283.03
0492 001 248.66
0493 001 283.67
0494 001 302.47
0495 001 315.06
0496 001 326.16
0497 001 289.87
0498 001 313.64
0499 001 330.72
0500 001 311.82
0501 001 321.11
0502 001 316.01
0503 001 276.69
0504 001 292.99
0505 001 255.48
0506 001 319.62
0507 001 320.42
0508 001 291.06
0509 001 250.22
0510 001 266.27
0511 001 296.30
0512 001 293.43
0513 001 324.38
0514 001 315.56
0515 001 308.41
0516 001 284.97
0517 001 290.48
0518 001 297.26
0519 001 249.41
0520 001 307.89
0521 001 282.76
0522 001 328.03
0523 001 326.55
0524 001 270.83
0525 001 318.43
0526 001 258.47
0527 001 322.31
0528 001 287.63
0529 001 279.03
0530 001 329.62
0531 001 330.01
0532 001 276.20
0533 001 263.91
0534 001 316.79
0535 001 291.07
0536 001 286.20
0537 001 318.42
0538 001 293.36
0539 001 265.65
0540 001 311.73
0541 001 322.29
0542 001 282.56
0543 001 315.70
0544 001 269.45
0545 001 324.81
0546 001 328.00
0547 001 276.62
0548 001 290.66
0549 001 278.41
0550 001 318.38
0551 001 311.96
0552 001 326.03
0553 001 311.63
0554 001 277.89
0555 001 318.56
0556 001 302.51
0557 001 292.08
0558 001 280.84
0559 001 318.89
0560 001 275.51
0561 001 273.14
0562 001 310.56
0563 001 262.91
0564 001 275.48
0565 001 313.39
0566 001 311.76
0567 001 328.70
0568 001 310.90
0569 001 354.05
0570 001 303.55
0571 001 278.29
0572 001 336.33
0573 001 328.28
0574 001 302.56
0575 001 305.52
0576 001 275.53
0577 001 327.67
0578 001 291.99
0579 001 323.64
0580 001 327.77
0581 001 338.43
0582 001 336.99
0583 001 302.43
0584 001 320.64
0585 001 328.76
0586 001 328.40
0587 001 328.25
0588 001 277.36
0589 001 327.31
0590 001 342.16
0591 001 328.48
0592 001 310.27
0593 001 344.03
0594 001 340.03
0595 001 335.35
0596 001 357.01
0597 001 317.70
0598 001 312.71
0599 001 306.45
0600 001 311.75
0601 001 325.37
0602 001 342.16
0603 001 313.83
0604 001 316.50
0605 001 342.16
0606 001 318.09
0607 001 312.73
0608 001 320.06
0609 001 309.31
0610 001 316.76
0611 001 315.48
0612 001 314.69
0613 001 302.76
0614 001 311.06
0615 001 309.64
0616 001 349.38
0617 001 321.19
0618 001 335.97
0619 001 350.70
0620 001 312.69
0621 001 334.15
0622 001 316.05
0623 001 293.79
0624 001 302.74
0625 001 282.42
0626 001 309.09
0627 001 292.55
0628 001 295.96
0629 001 316.32
0630 001 315.01
0631 001 288.73
0632 001 293.04
0633 001 335.61
0634 001 287.58
0635 001 318.60
0636 001 295.96
0637 001 294.75
0638 001 331.80
0639 001 288.12
0640 001 292.75
0641 001 267.84
0642 001 280.65
0643 001 231.62
0644 001 283.90
0645 001 290.92
0646 001 283.25
0647 001 265.85
0648 001 258.22
0649 001 236.87
0650 001 228.01
