# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual npp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:54:13 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0001 001 4.47
0002 001 8.92
0003 001 3.77
0004 001 12.60
0005 001 2.78
0006 001 2.86
0007 001 8.77
0008 001 12.79
0009 001 12.64
0010 001 4.15
0011 001 25.74
0012 001 11.87
0013 001 13.63
0014 001 73.40
0015 001 3.39
0016 001 64.80
0017 001 69.98
0018 001 15.88
0019 001 57.99
0020 001 19.68
0021 001 45.01
0022 001 11.32
0023 001 11.17
0024 001 11.45
0025 001 32.34
0026 001 14.36
0027 001 40.80
0028 001 33.93
0029 001 27.46
0030 001 12.84
0031 001 16.51
0032 001 131.57
0033 001 49.86
0034 001 36.88
0035 001 25.76
0036 001 53.45
0037 001 133.77
0038 001 74.06
0039 001 11.58
0040 001 112.79
0041 001 112.75
0042 001 11.26
0043 001 16.39
0044 001 173.44
0045 001 97.98
0046 001 15.24
0047 001 69.12
0048 001 167.13
0049 001 134.06
0050 001 148.88
0051 001 89.27
0052 001 135.30
0053 001 108.52
0054 001 77.54
0055 001 123.84
0056 001 78.04
0057 001 113.64
0058 001 130.83
0059 001 147.09
0060 001 85.01
0061 001 140.64
0062 001 131.72
0063 001 180.57
0064 001 133.29
0065 001 96.86
0066 001 375.21
0067 001 105.88
0068 001 365.26
0069 001 81.67
0070 001 109.32
0071 001 371.14
0072 001 397.58
0073 001 347.90
0074 001 197.29
0075 001 196.69
0076 001 92.82
0077 001 231.00
0078 001 227.46
0079 001 222.13
0080 001 222.52
0081 001 224.59
0082 001 112.06
0083 001 304.71
0084 001 243.49
0085 001 229.70
0086 001 152.96
0087 001 384.30
0088 001 288.79
0089 001 372.57
0090 001 374.69
0091 001 409.04
0092 001 189.29
0093 001 196.75
0094 001 344.01
0095 001 376.50
0096 001 536.60
0097 001 203.75
0098 001 366.93
0099 001 321.43
0100 001 254.90
0101 001 532.86
0102 001 398.67
0103 001 234.38
0104 001 409.56
0105 001 271.86
0106 001 469.76
0107 001 524.62
0108 001 481.49
0109 001 296.74
0110 001 305.22
0111 001 342.45
0112 001 244.78
0113 001 226.92
0114 001 445.50
0115 001 358.93
0116 001 541.33
0117 001 286.99
0118 001 508.43
0119 001 536.40
0120 001 484.76
0121 001 297.34
0122 001 500.79
0123 001 198.24
0124 001 279.39
0125 001 354.66
0126 001 529.68
0127 001 538.79
0128 001 526.15
0129 001 493.36
0130 001 360.77
0131 001 360.80
0132 001 398.08
0133 001 523.82
0134 001 488.61
0135 001 365.33
0136 001 226.99
0137 001 423.25
0138 001 451.69
0139 001 478.06
0140 001 531.42
0141 001 530.90
0142 001 505.80
0143 001 287.18
0144 001 535.08
0145 001 478.01
0146 001 388.67
0147 001 279.26
0148 001 321.32
0149 001 364.53
0150 001 498.92
0151 001 516.51
0152 001 540.19
0153 001 648.97
0154 001 630.22
0155 001 539.59
0156 001 640.91
0157 001 282.50
0158 001 511.25
0159 001 291.39
0160 001 643.13
0161 001 639.50
0162 001 562.80
0163 001 606.49
0164 001 526.27
0165 001 546.86
0166 001 588.23
0167 001 412.65
0168 001 654.67
0169 001 624.85
0170 001 507.05
0171 001 526.68
0172 001 508.94
0173 001 571.20
0174 001 586.11
0175 001 509.17
0176 001 553.54
0177 001 608.88
0178 001 508.04
0179 001 531.90
0180 001 539.54
0181 001 525.46
0182 001 643.97
0183 001 628.18
0184 001 545.76
0185 001 544.40
0186 001 504.85
0187 001 561.40
0188 001 594.51
0189 001 639.65
0190 001 648.63
0191 001 562.03
0192 001 532.27
0193 001 546.69
0194 001 582.13
0195 001 598.51
0196 001 633.47
0197 001 560.01
0198 001 549.64
0199 001 520.21
0200 001 504.70
0201 001 666.19
0202 001 642.91
0203 001 502.55
0204 001 596.78
0205 001 597.38
0206 001 643.89
0207 001 540.10
0208 001 552.16
0209 001 713.52
0210 001 504.35
0211 001 531.34
0212 001 652.99
0213 001 760.26
0214 001 591.99
0215 001 628.72
0216 001 513.29
0217 001 668.86
0218 001 747.12
0219 001 639.10
0220 001 715.83
0221 001 793.55
0222 001 752.75
0223 001 707.04
0224 001 660.98
0225 001 658.11
0226 001 682.37
0227 001 756.88
0228 001 520.39
0229 001 710.87
0230 001 713.78
0231 001 590.32
0232 001 745.20
0233 001 718.79
0234 001 642.75
0235 001 718.03
0236 001 688.68
0237 001 747.43
0238 001 696.35
0239 001 631.83
0240 001 718.24
0241 001 742.12
0242 001 664.33
0243 001 764.75
0244 001 795.60
0245 001 752.61
0246 001 719.53
0247 001 777.46
0248 001 730.46
0249 001 758.08
0250 001 712.32
0251 001 715.07
0252 001 710.76
0253 001 669.41
0254 001 716.82
0255 001 648.47
0256 001 989.04
0257 001 856.25
0258 001 791.13
0259 001 703.34
0260 001 640.96
0261 001 657.27
0262 001 287.83
0263 001 632.23
0264 001 747.95
0265 001 758.16
0266 001 697.49
0267 001 676.64
0268 001 631.82
0269 001 751.98
0270 001 644.63
0271 001 683.18
0272 001 920.35
0273 001 777.80
0274 001 801.69
0275 001 646.38
0276 001 377.22
0277 001 643.93
0278 001 548.72
0279 001 886.07
0280 001 828.38
0281 001 736.86
0282 001 651.25
0283 001 728.70
0284 001 536.79
0285 001 396.71
0286 001 257.12
0287 001 577.98
0288 001 807.63
0289 001 262.38
0290 001 688.04
0291 001 754.68
0292 001 705.05
0293 001 622.10
0294 001 561.92
0295 001 852.06
0296 001 812.78
0297 001 710.12
0298 001 647.73
0299 001 477.59
0300 001 282.24
0301 001 270.91
0302 001 706.68
0303 001 654.59
0304 001 582.58
0305 001 551.19
0306 001 831.60
0307 001 776.05
0308 001 788.01
0309 001 721.96
0310 001 679.73
0311 001 432.48
0312 001 304.36
0313 001 304.36
0314 001 503.47
0315 001 623.82
0316 001 898.88
0317 001 857.44
0318 001 791.03
0319 001 870.01
0320 001 731.41
0321 001 659.93
0322 001 745.10
0323 001 356.54
0324 001 640.02
0325 001 648.40
0326 001 652.88
0327 001 826.23
0328 001 618.78
0329 001 818.14
0330 001 113.88
0331 001 762.46
0332 001 585.85
0333 001 510.42
0334 001 845.61
0335 001 770.27
0336 001 638.73
0337 001 790.67
0338 001 681.52
0339 001 465.84
0340 001 572.85
0341 001 126.35
0342 001 466.05
0343 001 634.44
0344 001 786.00
0345 001 712.40
0346 001 753.52
0347 001 735.92
0348 001 474.75
0349 001 176.36
0350 001 585.85
0351 001 477.13
0352 001 556.32
0353 001 693.54
0354 001 117.78
0355 001 672.45
0356 001 499.89
0357 001 603.63
0358 001 1053.27
0359 001 117.23
0360 001 858.01
0361 001 738.95
0362 001 556.19
0363 001 164.83
0364 001 583.29
0365 001 549.20
0366 001 470.14
0367 001 493.57
0368 001 744.37
0369 001 752.44
0370 001 654.79
0371 001 758.92
0372 001 534.11
0373 001 160.01
0374 001 855.47
0375 001 943.46
0376 001 676.37
0377 001 625.39
0378 001 588.76
0379 001 222.42
0380 001 547.37
0381 001 365.19
0382 001 675.97
0383 001 714.19
0384 001 552.57
0385 001 212.00
0386 001 666.94
0387 001 707.17
0388 001 528.63
0389 001 675.48
0390 001 591.92
0391 001 469.92
0392 001 134.58
0393 001 539.64
0394 001 495.48
0395 001 682.38
0396 001 210.60
0397 001 677.07
0398 001 537.22
0399 001 603.17
0400 001 926.46
0401 001 258.63
0402 001 997.54
0403 001 855.89
0404 001 796.97
0405 001 608.43
0406 001 924.58
