# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual prec
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:54:13 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0001 001 116.58
0002 001 94.74
0003 001 287.86
0004 001 193.88
0005 001 126.21
0006 001 479.46
0007 001 215.98
0008 001 82.79
0009 001 194.96
0010 001 390.71
0011 001 414.71
0012 001 486.42
0013 001 562.21
0014 001 253.61
0015 001 221.43
0016 001 249.38
0017 001 241.17
0018 001 588.81
0019 001 272.51
0020 001 416.65
0021 001 441.18
0022 001 422.96
0023 001 439.64
0024 001 463.31
0025 001 430.57
0026 001 574.26
0027 001 442.37
0028 001 440.04
0029 001 415.19
0030 001 412.19
0031 001 558.02
0032 001 543.97
0033 001 324.75
0034 001 468.07
0035 001 569.14
0036 001 319.72
0037 001 606.95
0038 001 267.78
0039 001 136.39
0040 001 377.92
0041 001 314.39
0042 001 427.41
0043 001 570.74
0044 001 475.96
0045 001 553.11
0046 001 551.90
0047 001 265.51
0048 001 561.18
0049 001 248.80
0050 001 539.83
0051 001 702.67
0052 001 294.73
0053 001 371.24
0054 001 629.22
0055 001 247.41
0056 001 714.42
0057 001 692.16
0058 001 530.02
0059 001 519.67
0060 001 568.09
0061 001 536.71
0062 001 588.58
0063 001 416.00
0064 001 354.95
0065 001 578.13
0066 001 881.75
0067 001 620.76
0068 001 896.25
0069 001 759.42
0070 001 703.62
0071 001 890.08
0072 001 773.60
0073 001 558.08
0074 001 611.32
0075 001 600.53
0076 001 639.88
0077 001 520.44
0078 001 492.30
0079 001 434.90
0080 001 425.62
0081 001 422.35
0082 001 662.53
0083 001 722.92
0084 001 510.93
0085 001 696.00
0086 001 596.31
0087 001 840.61
0088 001 654.59
0089 001 887.78
0090 001 883.40
0091 001 736.95
0092 001 771.11
0093 001 598.19
0094 001 688.17
0095 001 877.66
0096 001 871.68
0097 001 658.57
0098 001 631.35
0099 001 517.66
0100 001 559.50
0101 001 997.45
0102 001 766.50
0103 001 466.14
0104 001 740.73
0105 001 615.97
0106 001 808.06
0107 001 1129.99
0108 001 768.61
0109 001 823.54
0110 001 1059.10
0111 001 1094.33
0112 001 637.37
0113 001 431.44
0114 001 929.03
0115 001 886.80
0116 001 980.69
0117 001 1026.80
0118 001 867.99
0119 001 888.32
0120 001 1227.16
0121 001 799.11
0122 001 879.42
0123 001 634.30
0124 001 972.82
0125 001 957.41
0126 001 1233.66
0127 001 1023.35
0128 001 1201.29
0129 001 1405.25
0130 001 880.13
0131 001 1075.30
0132 001 1142.43
0133 001 1138.73
0134 001 955.71
0135 001 836.23
0136 001 482.35
0137 001 1119.10
0138 001 898.16
0139 001 812.40
0140 001 1023.46
0141 001 1063.17
0142 001 1390.37
0143 001 1027.17
0144 001 842.28
0145 001 1103.74
0146 001 1203.03
0147 001 971.88
0148 001 1080.91
