# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual temp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:54:13 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0001 001 -37.66
0002 001 -31.87
0003 001 -39.04
0004 001 -28.87
0005 001 -41.58
0006 001 -41.34
0007 001 -31.88
0008 001 -28.70
0009 001 -28.88
0010 001 -38.25
0011 001 -22.77
0012 001 -29.32
0013 001 -28.15
0014 001 -13.64
0015 001 -39.90
0016 001 -14.75
0017 001 -14.07
0018 001 -26.85
0019 001 -15.74
0020 001 -25.11
0021 001 -17.94
0022 001 -29.72
0023 001 -29.83
0024 001 -29.63
0025 001 -20.80
0026 001 -27.73
0027 001 -18.78
0028 001 -20.37
0029 001 -22.21
0030 001 -28.68
0031 001 -26.52
0032 001 -8.38
0033 001 -17.09
0034 001 -19.65
0035 001 -23.05
0036 001 -16.44
0037 001 -8.23
0038 001 -13.57
0039 001 -29.69
0040 001 -9.79
0041 001 -9.80
0042 001 -29.77
0043 001 -26.58
0044 001 -5.79
0045 001 -11.07
0046 001 -27.21
0047 001 -14.18
0048 001 -6.14
0049 001 -8.21
0050 001 -7.23
0051 001 -11.91
0052 001 -8.12
0053 001 -10.15
0054 001 -13.16
0055 001 -8.94
0056 001 -13.10
0057 001 -9.72
0058 001 -8.43
0059 001 -7.35
0060 001 -12.35
0061 001 -7.77
0062 001 -8.37
0063 001 -5.40
0064 001 -8.26
0065 001 -11.17
0066 001 2.13
0067 001 -10.37
0068 001 1.83
0069 001 -12.70
0070 001 -10.08
0071 001 2.01
0072 001 2.79
0073 001 1.28
0074 001 -4.55
0075 001 -4.58
0076 001 -11.57
0077 001 -3.00
0078 001 -3.15
0079 001 -3.39
0080 001 -3.37
0081 001 -3.28
0082 001 -9.85
0083 001 -0.15
0084 001 -2.47
0085 001 -3.06
0086 001 -6.99
0087 001 2.40
0088 001 -0.72
0089 001 2.05
0090 001 2.11
0091 001 3.12
0092 001 -4.95
0093 001 -4.58
0094 001 1.16
0095 001 2.17
0096 001 6.49
0097 001 -4.24
0098 001 1.88
0099 001 0.41
0100 001 -2.01
0101 001 6.40
0102 001 2.82
0103 001 -2.85
0104 001 3.14
0105 001 -1.35
0106 001 4.78
0107 001 6.19
0108 001 5.09
0109 001 -0.43
0110 001 -0.14
0111 001 1.11
0112 001 -2.42
0113 001 -3.17
0114 001 4.13
0115 001 1.63
0116 001 6.61
0117 001 -0.78
0118 001 5.78
0119 001 6.48
0120 001 5.18
0121 001 -0.41
0122 001 5.59
0123 001 -4.50
0124 001 -1.06
0125 001 1.50
0126 001 6.32
0127 001 6.54
0128 001 6.23
0129 001 5.40
0130 001 1.69
0131 001 1.69
0132 001 2.81
0133 001 6.17
0134 001 5.27
0135 001 1.83
0136 001 -3.17
0137 001 3.52
0138 001 4.30
0139 001 5.00
0140 001 6.36
0141 001 6.35
0142 001 5.72
0143 001 -0.77
0144 001 6.45
0145 001 5.00
0146 001 2.53
0147 001 -1.07
0148 001 0.41
0149 001 1.80
0150 001 5.54
0151 001 5.99
0152 001 6.58
0153 001 9.18
0154 001 8.74
0155 001 6.56
0156 001 9.20
0157 001 -0.95
0158 001 5.85
0159 001 -0.62
0160 001 9.08
0161 001 9.39
0162 001 7.13
0163 001 8.17
0164 001 6.23
0165 001 6.74
0166 001 7.74
0167 001 3.22
0168 001 9.31
0169 001 8.61
0170 001 5.75
0171 001 6.24
0172 001 5.80
0173 001 7.34
0174 001 7.69
0175 001 5.80
0176 001 6.91
0177 001 8.24
0178 001 5.77
0179 001 6.37
0180 001 6.56
0181 001 6.21
0182 001 9.30
0183 001 8.79
0184 001 6.71
0185 001 6.68
0186 001 5.69
0187 001 7.10
0188 001 7.89
0189 001 8.96
0190 001 9.17
0191 001 7.11
0192 001 6.38
0193 001 6.74
0194 001 7.60
0195 001 7.99
0196 001 8.81
0197 001 7.06
0198 001 6.81
0199 001 6.08
0200 001 5.69
0201 001 9.58
0202 001 9.31
0203 001 5.63
0204 001 7.95
0205 001 7.96
0206 001 9.06
0207 001 6.58
0208 001 6.87
0209 001 12.03
0210 001 5.68
0211 001 6.36
0212 001 12.51
0213 001 11.83
0214 001 7.83
0215 001 8.70
0216 001 5.91
0217 001 12.46
0218 001 11.46
0219 001 8.95
0220 001 10.72
0221 001 12.52
0222 001 11.92
0223 001 11.65
0224 001 11.91
0225 001 12.01
0226 001 10.94
0227 001 11.73
0228 001 11.32
0229 001 10.61
0230 001 12.19
0231 001 11.61
0232 001 11.56
0233 001 12.29
0234 001 9.03
0235 001 11.16
0236 001 12.38
0237 001 12.31
0238 001 12.08
0239 001 11.46
0240 001 12.14
0241 001 11.33
0242 001 11.70
0243 001 11.86
0244 001 12.57
0245 001 11.86
0246 001 11.69
0247 001 12.14
0248 001 11.89
0249 001 11.70
0250 001 11.69
0251 001 10.71
0252 001 10.61
0253 001 12.45
0254 001 12.38
0255 001 12.15
0256 001 17.36
0257 001 17.02
0258 001 12.46
0259 001 12.15
0260 001 14.25
0261 001 13.93
0262 001 15.96
0263 001 14.40
0264 001 11.46
0265 001 15.94
0266 001 15.10
0267 001 11.53
0268 001 15.48
0269 001 15.50
0270 001 15.00
0271 001 11.57
0272 001 17.61
0273 001 16.29
0274 001 15.24
0275 001 14.09
0276 001 15.70
0277 001 14.99
0278 001 14.52
0279 001 17.31
0280 001 15.57
0281 001 12.27
0282 001 13.87
0283 001 15.23
0284 001 14.32
0285 001 13.90
0286 001 13.81
0287 001 14.52
0288 001 16.38
0289 001 16.30
0290 001 15.64
0291 001 15.36
0292 001 15.11
0293 001 14.82
0294 001 14.30
0295 001 15.42
0296 001 15.28
0297 001 15.13
0298 001 13.86
0299 001 14.61
0300 001 15.73
0301 001 15.84
0302 001 15.69
0303 001 14.46
0304 001 14.33
0305 001 14.48
0306 001 16.69
0307 001 16.28
0308 001 15.78
0309 001 15.07
0310 001 14.42
0311 001 14.83
0312 001 16.08
0313 001 15.70
0314 001 14.22
0315 001 14.39
0316 001 17.43
0317 001 17.04
0318 001 15.22
0319 001 18.76
0320 001 15.59
0321 001 15.03
0322 001 16.01
0323 001 18.00
0324 001 14.96
0325 001 17.89
0326 001 13.88
0327 001 18.48
0328 001 17.96
0329 001 15.30
0330 001 23.02
0331 001 18.55
0332 001 18.53
0333 001 16.83
0334 001 18.49
0335 001 18.49
0336 001 17.23
0337 001 19.22
0338 001 18.30
0339 001 17.13
0340 001 16.93
0341 001 19.42
0342 001 17.12
0343 001 15.52
0344 001 20.49
0345 001 19.08
0346 001 18.64
0347 001 18.35
0348 001 17.37
0349 001 23.72
0350 001 18.53
0351 001 16.43
0352 001 17.49
0353 001 18.31
0354 001 21.04
0355 001 18.29
0356 001 17.09
0357 001 18.53
0358 001 20.33
0359 001 23.06
0360 001 18.63
0361 001 18.37
0362 001 17.00
0363 001 19.02
0364 001 18.50
0365 001 18.14
0366 001 17.11
0367 001 17.27
0368 001 21.57
0369 001 18.88
0370 001 18.00
0371 001 20.77
0372 001 20.09
0373 001 23.53
0374 001 18.84
0375 001 22.38
0376 001 21.57
0377 001 19.97
0378 001 20.18
0379 001 27.18
0380 001 20.19
0381 001 19.80
0382 001 21.47
0383 001 20.44
0384 001 20.58
0385 001 17.64
0386 001 18.35
0387 001 21.22
0388 001 20.08
0389 001 21.47
0390 001 17.54
0391 001 20.82
0392 001 22.83
0393 001 19.62
0394 001 16.94
0395 001 21.44
0396 001 26.60
0397 001 20.57
0398 001 19.45
0399 001 19.40
0400 001 22.51
0401 001 17.32
0402 001 21.64
0403 001 22.40
0404 001 23.15
0405 001 20.06
0406 001 16.91
0407 001 20.62
0408 001 20.48
0409 001 21.23
0410 001 23.92
0411 001 19.52
0412 001 18.31
0413 001 19.76
0414 001 25.02
0415 001 23.01
0416 001 19.33
0417 001 23.61
0418 001 20.83
0419 001 18.31
0420 001 21.33
0421 001 23.82
0422 001 23.98
0423 001 23.86
0424 001 21.11
0425 001 22.88
0426 001 29.33
0427 001 21.96
0428 001 23.43
0429 001 25.26
0430 001 24.39
0431 001 23.01
0432 001 20.37
0433 001 25.66
0434 001 20.21
0435 001 22.57
0436 001 22.53
0437 001 26.18
0438 001 23.01
0439 001 21.16
0440 001 23.71
0441 001 20.37
0442 001 22.00
0443 001 21.67
0444 001 23.85
0445 001 23.83
0446 001 25.49
0447 001 26.10
0448 001 20.41
0449 001 25.94
0450 001 21.16
0451 001 23.52
0452 001 26.09
0453 001 21.10
0454 001 25.94
0455 001 26.18
0456 001 21.42
0457 001 25.32
0458 001 22.47
0459 001 21.14
0460 001 22.58
0461 001 23.56
0462 001 21.63
0463 001 25.48
0464 001 25.85
0465 001 26.10
0466 001 28.13
0467 001 26.64
0468 001 22.00
0469 001 27.72
0470 001 21.52
0471 001 26.62
0472 001 20.80
0473 001 23.97
0474 001 23.04
0475 001 19.35
0476 001 25.21
0477 001 25.31
0478 001 20.18
0479 001 25.71
0480 001 23.59
0481 001 21.58
0482 001 26.22
0483 001 27.38
0484 001 22.24
0485 001 23.67
0486 001 26.57
0487 001 26.72
0488 001 27.87
0489 001 24.17
0490 001 27.45
0491 001 23.59
0492 001 20.72
0493 001 23.64
0494 001 25.21
0495 001 26.25
0496 001 27.18
0497 001 24.16
0498 001 26.14
0499 001 27.56
0500 001 25.98
0501 001 26.76
0502 001 26.33
0503 001 23.06
0504 001 24.42
0505 001 21.29
0506 001 26.64
0507 001 26.70
0508 001 24.26
0509 001 20.85
0510 001 22.19
0511 001 24.69
0512 001 24.45
0513 001 27.03
0514 001 26.30
0515 001 25.70
0516 001 23.75
0517 001 24.21
0518 001 24.77
0519 001 20.78
0520 001 25.66
0521 001 23.56
0522 001 27.34
0523 001 27.21
0524 001 22.57
0525 001 26.54
0526 001 21.54
0527 001 26.86
0528 001 23.97
0529 001 23.25
0530 001 27.47
0531 001 27.50
0532 001 23.02
0533 001 21.99
0534 001 26.40
0535 001 24.26
0536 001 23.85
0537 001 26.54
0538 001 24.45
0539 001 22.14
0540 001 25.98
0541 001 26.86
0542 001 23.55
0543 001 26.31
0544 001 22.45
0545 001 27.07
0546 001 27.33
0547 001 23.05
0548 001 24.22
0549 001 23.20
0550 001 26.53
0551 001 26.00
0552 001 27.17
0553 001 25.97
0554 001 23.16
0555 001 26.55
0556 001 25.21
0557 001 24.34
0558 001 23.40
0559 001 26.57
0560 001 22.96
0561 001 22.76
0562 001 25.88
0563 001 21.91
0564 001 22.96
0565 001 26.12
0566 001 25.98
0567 001 27.39
0568 001 25.91
0569 001 29.50
0570 001 25.30
0571 001 23.19
0572 001 28.03
0573 001 27.36
0574 001 25.21
0575 001 25.46
0576 001 22.96
0577 001 27.31
0578 001 24.33
0579 001 26.97
0580 001 27.31
0581 001 28.20
0582 001 28.08
0583 001 25.20
0584 001 26.72
0585 001 27.40
0586 001 27.37
0587 001 27.35
0588 001 23.11
0589 001 27.28
0590 001 28.51
0591 001 27.37
0592 001 25.86
0593 001 28.67
0594 001 28.34
0595 001 27.95
0596 001 29.75
0597 001 26.48
0598 001 26.06
0599 001 25.54
0600 001 25.98
0601 001 27.11
0602 001 28.51
0603 001 26.15
0604 001 26.37
0605 001 28.51
0606 001 26.51
0607 001 26.06
0608 001 26.67
0609 001 25.78
0610 001 26.40
0611 001 26.29
0612 001 26.22
0613 001 25.23
0614 001 25.92
0615 001 25.80
0616 001 29.11
0617 001 26.77
0618 001 28.00
0619 001 29.22
0620 001 26.06
0621 001 27.85
0622 001 26.34
0623 001 24.48
0624 001 25.23
0625 001 23.53
0626 001 25.76
0627 001 24.38
0628 001 24.66
0629 001 26.36
0630 001 26.25
0631 001 24.06
0632 001 24.42
0633 001 27.97
0634 001 23.97
0635 001 26.55
0636 001 24.66
0637 001 24.56
0638 001 27.65
0639 001 24.01
0640 001 24.40
0641 001 22.32
0642 001 23.39
0643 001 19.30
0644 001 23.66
0645 001 24.24
0646 001 23.60
0647 001 22.15
0648 001 21.52
0649 001 19.74
0650 001 19.00
0651 001 21.04
0652 001 21.23
0653 001 21.87
0654 001 21.36
0655 001 21.87
0656 001 18.80
0657 001 21.52
0658 001 21.96
0659 001 18.38
0660 001 21.13
0661 001 22.39
0662 001 22.39
0663 001 19.18
0664 001 22.09
0665 001 21.02
0666 001 19.24
0667 001 16.61
0668 001 15.53
0669 001 18.86
0670 001 18.98
0671 001 19.05
0672 001 19.13
0673 001 19.13
0674 001 11.27
0675 001 10.94
0676 001 6.84
0677 001 10.98
0678 001 11.34
0679 001 11.06
0680 001 10.88
0681 001 11.05
0682 001 2.66
0683 001 2.76
0684 001 3.30
0685 001 -3.14
