# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual gdd5
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0001 001 0.00
0002 001 0.00
0003 001 0.00
0004 001 0.00
0005 001 0.00
0006 001 0.00
0007 001 0.00
0008 001 0.00
0009 001 0.00
0010 001 0.00
0011 001 0.00
0012 001 0.00
0013 001 0.00
0014 001 0.00
0015 001 0.00
0016 001 0.00
0017 001 0.00
0018 001 0.00
0019 001 0.00
0020 001 0.00
0021 001 0.00
0022 001 0.00
0023 001 0.00
0024 001 0.00
0025 001 0.00
0026 001 0.00
0027 001 0.00
0028 001 0.00
0029 001 0.00
0030 001 0.00
0031 001 0.00
0032 001 0.00
0033 001 0.00
0034 001 0.00
0035 001 0.00
0036 001 0.00
0037 001 0.00
0038 001 0.00
0039 001 0.00
0040 001 0.00
0041 001 0.00
0042 001 0.00
0043 001 0.00
0044 001 0.00
0045 001 0.00
0046 001 0.00
0047 001 0.00
0048 001 0.00
0049 001 0.00
0050 001 0.00
0051 001 0.00
0052 001 0.00
0053 001 0.00
0054 001 0.00
0055 001 0.00
0056 001 0.00
0057 001 0.00
0058 001 0.00
0059 001 0.00
0060 001 0.00
0061 001 0.00
0062 001 0.00
0063 001 0.00
0064 001 0.00
0065 001 0.00
0066 001 0.00
0067 001 0.00
0068 001 0.00
0069 001 0.00
0070 001 0.00
0071 001 0.00
0072 001 0.65
0073 001 10.35
0074 001 0.00
0075 001 0.00
0076 001 0.00
0077 001 0.00
0078 001 0.00
0079 001 0.00
0080 001 0.00
0081 001 0.00
0082 001 0.00
0083 001 0.00
0084 001 0.00
0085 001 0.00
0086 001 0.00
0087 001 0.00
0088 001 0.00
0089 001 0.00
0090 001 0.00
0091 001 4.83
0092 001 0.00
0093 001 0.00
0094 001 0.00
0095 001 0.00
0096 001 46.34
0097 001 0.00
0098 001 10.57
0099 001 4.65
0100 001 0.00
0101 001 45.73
0102 001 0.46
0103 001 0.00
0104 001 12.82
0105 001 0.00
0106 001 17.24
0107 001 44.25
0108 001 32.97
0109 001 0.00
0110 001 0.00
0111 001 0.00
0112 001 0.00
0113 001 0.00
0114 001 11.42
0115 001 0.00
0116 001 47.61
0117 001 0.00
0118 001 34.05
0119 001 46.32
0120 001 34.14
0121 001 0.00
0122 001 36.24
0123 001 0.00
0124 001 0.00
0125 001 0.00
0126 001 44.35
0127 001 47.41
0128 001 42.11
0129 001 33.21
0130 001 0.00
0131 001 0.00
0132 001 0.00
0133 001 44.10
0134 001 35.68
0135 001 0.00
0136 001 0.00
0137 001 1.51
0138 001 12.91
0139 001 20.94
0140 001 45.47
0141 001 45.50
0142 001 33.94
0143 001 0.00
0144 001 46.05
0145 001 34.74
0146 001 0.00
0147 001 0.00
0148 001 0.00
0149 001 0.00
0150 001 30.23
0151 001 37.18
0152 001 47.55
0153 001 100.74
0154 001 94.49
0155 001 53.25
0156 001 100.35
0157 001 0.00
0158 001 35.18
0159 001 0.00
0160 001 98.74
0161 001 102.51
0162 001 63.50
0163 001 74.15
0164 001 43.50
0165 001 53.70
0166 001 83.54
0167 001 0.00
0168 001 101.76
0169 001 92.96
0170 001 44.39
0171 001 50.54
0172 001 33.44
0173 001 74.00
0174 001 82.95
0175 001 34.02
0176 001 58.28
0177 001 89.15
0178 001 43.87
0179 001 52.75
0180 001 47.24
0181 001 44.40
0182 001 101.41
0183 001 84.57
0184 001 55.26
0185 001 54.50
0186 001 31.91
0187 001 64.59
0188 001 85.28
0189 001 98.13
0190 001 100.52
0191 001 60.60
0192 001 42.86
0193 001 53.42
0194 001 81.53
0195 001 86.28
0196 001 95.80
0197 001 63.18
0198 001 56.62
0199 001 47.81
0200 001 31.83
0201 001 105.06
0202 001 101.46
0203 001 43.08
0204 001 85.83
0205 001 85.98
0206 001 99.32
0207 001 48.04
0208 001 57.35
0209 001 135.49
0210 001 43.84
0211 001 52.51
0212 001 140.96
0213 001 132.93
0214 001 84.58
0215 001 94.06
0216 001 45.08
0217 001 140.17
0218 001 127.77
0219 001 97.05
0220 001 119.39
0221 001 141.34
0222 001 134.09
0223 001 130.17
0224 001 133.65
0225 001 134.78
0226 001 122.56
0227 001 131.74
0228 001 121.76
0229 001 118.22
0230 001 137.40
0231 001 130.40
0232 001 129.09
0233 001 137.96
0234 001 98.11
0235 001 124.94
0236 001 139.19
0237 001 138.76
0238 001 136.11
0239 001 128.12
0240 001 136.39
0241 001 127.16
0242 001 131.59
0243 001 133.30
0244 001 141.73
0245 001 133.32
0246 001 130.71
0247 001 135.72
0248 001 133.53
0249 001 130.43
0250 001 130.92
0251 001 119.21
0252 001 118.20
0253 001 140.15
0254 001 139.44
0255 001 136.19
0256 001 198.95
0257 001 194.74
0258 001 140.44
0259 001 136.97
0260 001 161.92
0261 001 157.93
0262 001 182.72
0263 001 163.33
0264 001 129.01
0265 001 182.63
0266 001 171.60
0267 001 128.80
0268 001 176.43
0269 001 175.92
0270 001 170.90
0271 001 129.66
0272 001 201.57
0273 001 186.75
0274 001 173.94
0275 001 160.02
0276 001 179.46
0277 001 170.83
0278 001 164.82
0279 001 198.11
0280 001 177.81
0281 001 138.36
0282 001 156.83
0283 001 172.91
0284 001 162.77
0285 001 157.49
0286 001 155.31
0287 001 165.09
0288 001 187.67
0289 001 186.64
0290 001 178.00
0291 001 174.24
0292 001 171.70
0293 001 168.69
0294 001 161.92
0295 001 175.93
0296 001 174.38
0297 001 172.58
0298 001 156.38
0299 001 165.37
0300 001 179.64
0301 001 181.05
0302 001 178.53
0303 001 164.17
0304 001 162.30
0305 001 164.27
0306 001 191.15
0307 001 186.70
0308 001 180.55
0309 001 171.88
0310 001 163.77
0311 001 168.13
0312 001 184.35
0313 001 179.12
0314 001 161.53
0315 001 163.06
0316 001 199.54
0317 001 194.91
0318 001 173.65
0319 001 214.58
0320 001 177.10
0321 001 171.10
0322 001 183.55
0323 001 206.04
0324 001 170.44
0325 001 205.14
0326 001 157.04
0327 001 210.94
0328 001 206.95
0329 001 174.59
0330 001 267.72
0331 001 213.03
0332 001 212.30
0333 001 192.68
0334 001 211.07
0335 001 211.26
0336 001 196.57
0337 001 220.68
0338 001 210.36
0339 001 195.66
0340 001 193.27
0341 001 223.40
0342 001 195.54
0343 001 176.97
0344 001 236.15
0345 001 219.36
0346 001 214.16
0347 001 210.85
0348 001 198.37
0349 001 276.67
0350 001 212.30
0351 001 187.44
0352 001 200.77
0353 001 210.47
0354 001 243.32
0355 001 210.28
0356 001 195.20
0357 001 212.20
0358 001 234.30
0359 001 268.20
0360 001 212.86
0361 001 211.10
0362 001 194.09
0363 001 218.47
0364 001 211.99
0365 001 207.79
0366 001 195.46
0367 001 197.17
0368 001 249.58
0369 001 216.97
0370 001 206.50
0371 001 238.30
0372 001 230.72
0373 001 274.33
0374 001 215.41
0375 001 260.36
0376 001 248.72
0377 001 229.73
0378 001 232.57
0379 001 318.72
0380 001 232.41
0381 001 226.41
0382 001 247.54
0383 001 235.00
0384 001 236.97
0385 001 202.60
0386 001 211.79
0387 001 244.63
0388 001 230.70
0389 001 247.54
0390 001 200.66
0391 001 240.54
0392 001 265.34
0393 001 225.64
0394 001 193.96
0395 001 247.29
0396 001 311.53
0397 001 236.52
0398 001 223.52
0399 001 223.35
0400 001 262.51
0401 001 197.89
0402 001 249.05
0403 001 258.69
0404 001 267.68
0405 001 230.95
0406 001 193.95
0407 001 237.62
0408 001 236.42
0409 001 244.61
0410 001 276.68
0411 001 224.36
0412 001 210.65
0413 001 227.65
0414 001 286.28
0415 001 266.27
0416 001 222.69
0417 001 273.40
0418 001 239.95
0419 001 210.64
0420 001 241.31
0421 001 287.17
0422 001 277.44
0423 001 276.08
0424 001 244.42
0425 001 271.70
0426 001 346.19
0427 001 254.83
0428 001 268.82
0429 001 293.96
0430 001 283.00
0431 001 266.25
0432 001 234.07
0433 001 301.53
0434 001 230.91
0435 001 261.82
0436 001 263.99
0437 001 304.95
0438 001 266.50
0439 001 245.00
0440 001 274.42
0441 001 234.07
0442 001 255.25
0443 001 251.52
0444 001 274.90
0445 001 279.90
0446 001 299.76
0447 001 304.06
0448 001 237.35
0449 001 304.51
0450 001 244.43
0451 001 272.01
0452 001 302.82
0453 001 244.42
0454 001 304.51
0455 001 304.95
0456 001 250.35
0457 001 298.01
0458 001 260.64
0459 001 244.99
0460 001 261.30
0461 001 273.49
0462 001 250.90
0463 001 294.60
0464 001 299.84
0465 001 304.03
0466 001 331.78
0467 001 318.55
0468 001 260.37
0469 001 333.95
0470 001 248.67
0471 001 309.77
0472 001 239.17
0473 001 277.63
0474 001 271.68
0475 001 227.21
0476 001 291.56
0477 001 294.63
0478 001 230.27
0479 001 306.07
0480 001 273.97
0481 001 249.44
0482 001 304.57
0483 001 320.27
0484 001 260.50
0485 001 275.22
0486 001 309.31
0487 001 311.66
0488 001 335.20
0489 001 282.24
0490 001 331.69
0491 001 277.62
0492 001 243.91
0493 001 273.27
0494 001 291.56
0495 001 313.40
0496 001 317.02
0497 001 282.00
0498 001 304.86
0499 001 332.64
0500 001 301.59
0501 001 312.78
0502 001 321.84
0503 001 278.92
0504 001 286.64
0505 001 248.25
0506 001 309.89
0507 001 311.21
0508 001 298.55
0509 001 242.05
0510 001 256.46
0511 001 302.32
0512 001 281.50
0513 001 315.22
0514 001 307.52
0515 001 306.28
0516 001 278.36
0517 001 297.73
0518 001 303.59
0519 001 239.43
0520 001 299.54
0521 001 273.96
0522 001 318.13
0523 001 317.15
0524 001 264.24
0525 001 318.86
0526 001 247.35
0527 001 312.55
0528 001 279.22
0529 001 269.26
0530 001 321.01
0531 001 321.17
0532 001 270.64
0533 001 254.56
0534 001 317.57
0535 001 282.27
0536 001 278.14
0537 001 318.81
0538 001 282.35
0539 001 256.34
0540 001 312.83
0541 001 313.58
0542 001 283.46
0543 001 317.23
0544 001 259.84
0545 001 315.24
0546 001 319.04
0547 001 270.95
0548 001 292.02
0549 001 268.70
0550 001 318.81
0551 001 320.44
0552 001 316.56
0553 001 318.52
0554 001 273.74
0555 001 323.42
0556 001 307.98
0557 001 282.65
0558 001 281.66
0559 001 308.98
0560 001 266.49
0561 001 270.00
0562 001 315.73
0563 001 253.53
0564 001 270.68
0565 001 320.91
0566 001 318.61
0567 001 319.61
0568 001 316.22
0569 001 338.41
0570 001 294.17
0571 001 272.36
0572 001 324.80
0573 001 319.55
0574 001 301.11
0575 001 306.46
0576 001 270.71
0577 001 320.23
0578 001 304.24
0579 001 312.15
0580 001 320.19
0581 001 326.56
0582 001 320.18
0583 001 293.10
0584 001 309.08
0585 001 319.72
0586 001 319.28
0587 001 319.51
0588 001 265.23
0589 001 319.36
0590 001 331.76
0591 001 319.17
0592 001 299.33
0593 001 331.41
0594 001 327.73
0595 001 325.65
0596 001 342.15
0597 001 309.19
0598 001 315.14
0599 001 315.91
0600 001 319.20
0601 001 314.42
0602 001 331.76
0603 001 304.30
0604 001 307.99
0605 001 331.76
0606 001 309.63
0607 001 312.17
0608 001 311.64
0609 001 298.36
0610 001 308.08
0611 001 306.93
0612 001 319.76
0613 001 301.45
0614 001 318.95
0615 001 298.19
0616 001 335.67
0617 001 312.80
0618 001 324.08
0619 001 336.93
0620 001 317.17
0621 001 324.57
0622 001 307.53
0623 001 285.54
0624 001 299.33
0625 001 291.56
0626 001 298.08
0627 001 283.73
0628 001 287.78
0629 001 313.29
0630 001 305.86
0631 001 280.34
0632 001 284.90
0633 001 323.58
0634 001 293.95
0635 001 310.16
0636 001 287.78
0637 001 289.60
0638 001 329.20
0639 001 293.63
0640 001 283.98
0641 001 263.19
0642 001 289.96
0643 001 226.77
0644 001 293.99
0645 001 282.62
0646 001 292.86
0647 001 266.53
0648 001 250.86
0649 001 232.66
0650 001 225.64
