# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual npp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0001 001 4.03
0002 001 8.23
0003 001 3.40
0004 001 11.06
0005 001 2.50
0006 001 2.60
0007 001 7.86
0008 001 11.72
0009 001 11.10
0010 001 3.85
0011 001 23.97
0012 001 10.53
0013 001 12.16
0014 001 68.54
0015 001 3.08
0016 001 60.20
0017 001 65.35
0018 001 14.25
0019 001 54.17
0020 001 18.28
0021 001 40.75
0022 001 10.19
0023 001 9.95
0024 001 10.16
0025 001 29.96
0026 001 12.83
0027 001 36.65
0028 001 31.36
0029 001 25.56
0030 001 11.75
0031 001 14.88
0032 001 122.28
0033 001 44.56
0034 001 33.87
0035 001 23.51
0036 001 48.79
0037 001 122.11
0038 001 68.74
0039 001 10.83
0040 001 104.25
0041 001 105.98
0042 001 10.10
0043 001 14.74
0044 001 159.07
0045 001 91.02
0046 001 14.16
0047 001 63.13
0048 001 154.44
0049 001 126.67
0050 001 134.22
0051 001 82.28
0052 001 127.40
0053 001 101.69
0054 001 70.80
0055 001 117.02
0056 001 71.07
0057 001 105.99
0058 001 121.82
0059 001 135.38
0060 001 79.09
0061 001 127.00
0062 001 120.98
0063 001 164.08
0064 001 124.93
0065 001 90.37
0066 001 348.74
0067 001 98.30
0068 001 340.13
0069 001 74.68
0070 001 102.25
0071 001 345.54
0072 001 367.93
0073 001 325.09
0074 001 186.33
0075 001 186.15
0076 001 85.85
0077 001 214.60
0078 001 211.21
0079 001 206.46
0080 001 207.43
0081 001 210.65
0082 001 104.19
0083 001 281.30
0084 001 229.86
0085 001 214.54
0086 001 142.42
0087 001 355.76
0088 001 270.44
0089 001 346.82
0090 001 348.48
0091 001 379.49
0092 001 177.49
0093 001 186.02
0094 001 316.76
0095 001 349.39
0096 001 504.58
0097 001 192.37
0098 001 342.95
0099 001 299.98
0100 001 239.73
0101 001 500.93
0102 001 368.88
0103 001 221.60
0104 001 381.44
0105 001 254.83
0106 001 441.86
0107 001 491.42
0108 001 445.96
0109 001 277.58
0110 001 286.24
0111 001 319.49
0112 001 227.61
0113 001 213.51
0114 001 418.25
0115 001 334.23
0116 001 508.14
0117 001 269.55
0118 001 477.73
0119 001 504.45
0120 001 451.07
0121 001 278.58
0122 001 463.89
0123 001 186.87
0124 001 262.11
0125 001 329.91
0126 001 496.29
0127 001 505.97
0128 001 493.72
0129 001 459.68
0130 001 335.15
0131 001 337.31
0132 001 372.44
0133 001 490.61
0134 001 453.19
0135 001 339.16
0136 001 210.91
0137 001 396.24
0138 001 424.27
0139 001 449.69
0140 001 499.38
0141 001 497.19
0142 001 472.85
0143 001 269.73
0144 001 501.88
0145 001 444.27
0146 001 364.25
0147 001 261.98
0148 001 300.70
0149 001 339.08
0150 001 469.32
0151 001 483.45
0152 001 507.22
0153 001 615.60
0154 001 593.72
0155 001 507.54
0156 001 612.83
0157 001 264.52
0158 001 480.22
0159 001 272.55
0160 001 608.57
0161 001 621.86
0162 001 528.59
0163 001 571.48
0164 001 495.13
0165 001 516.10
0166 001 555.83
0167 001 385.85
0168 001 619.20
0169 001 588.36
0170 001 478.21
0171 001 496.42
0172 001 477.06
0173 001 539.78
0174 001 553.80
0175 001 477.77
0176 001 522.89
0177 001 575.12
0178 001 479.26
0179 001 501.30
0180 001 507.70
0181 001 492.55
0182 001 617.99
0183 001 596.51
0184 001 514.85
0185 001 513.40
0186 001 473.17
0187 001 530.58
0188 001 561.78
0189 001 606.40
0190 001 614.83
0191 001 526.97
0192 001 499.71
0193 001 515.82
0194 001 550.01
0195 001 565.22
0196 001 598.26
0197 001 526.78
0198 001 515.81
0199 001 490.36
0200 001 473.16
0201 001 630.90
0202 001 618.16
0203 001 474.50
0204 001 563.67
0205 001 564.18
0206 001 610.62
0207 001 508.57
0208 001 521.50
0209 001 689.46
0210 001 476.13
0211 001 500.78
0212 001 626.65
0213 001 731.19
0214 001 559.37
0215 001 592.23
0216 001 483.93
0217 001 649.07
0218 001 712.51
0219 001 602.63
0220 001 682.23
0221 001 761.58
0222 001 725.19
0223 001 696.19
0224 001 669.63
0225 001 670.36
0226 001 689.91
0227 001 726.88
0228 001 540.11
0229 001 678.03
0230 001 695.54
0231 001 566.09
0232 001 717.28
0233 001 713.44
0234 001 606.35
0235 001 700.81
0236 001 677.09
0237 001 728.97
0238 001 673.84
0239 001 617.92
0240 001 718.55
0241 001 710.30
0242 001 651.54
0243 001 732.50
0244 001 762.99
0245 001 724.32
0246 001 705.06
0247 001 741.28
0248 001 730.62
0249 001 722.12
0250 001 723.90
0251 001 681.59
0252 001 677.93
0253 001 649.85
0254 001 688.01
0255 001 633.52
0256 001 959.99
0257 001 863.32
0258 001 758.33
0259 001 683.57
0260 001 632.64
0261 001 632.63
0262 001 278.11
0263 001 628.44
0264 001 717.00
0265 001 747.28
0266 001 681.29
0267 001 668.83
0268 001 618.70
0269 001 725.78
0270 001 617.98
0271 001 684.75
0272 001 919.06
0273 001 769.61
