# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual prec
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0001 001 106.67
0002 001 77.13
0003 001 304.24
0004 001 183.29
0005 001 111.85
0006 001 455.28
0007 001 202.05
0008 001 73.48
0009 001 183.99
0010 001 384.15
0011 001 412.97
0012 001 452.16
0013 001 549.55
0014 001 238.67
0015 001 217.69
0016 001 232.81
0017 001 228.12
0018 001 586.51
0019 001 269.51
0020 001 421.13
0021 001 403.47
0022 001 397.19
0023 001 405.25
0024 001 427.75
0025 001 420.91
0026 001 567.38
0027 001 397.01
0028 001 427.70
0029 001 411.60
0030 001 403.88
0031 001 517.46
0032 001 530.84
0033 001 291.81
0034 001 448.28
0035 001 532.86
0036 001 293.53
0037 001 584.76
0038 001 248.21
0039 001 123.82
0040 001 359.95
0041 001 307.67
0042 001 398.66
0043 001 552.18
0044 001 439.59
0045 001 553.18
0046 001 533.74
0047 001 243.10
0048 001 516.40
0049 001 240.79
0050 001 511.80
0051 001 704.32
0052 001 288.12
0053 001 366.12
0054 001 610.21
0055 001 237.92
0056 001 692.53
0057 001 682.24
0058 001 518.85
0059 001 480.29
0060 001 560.28
0061 001 515.18
0062 001 568.32
0063 001 397.86
0064 001 349.30
0065 001 549.77
0066 001 826.73
0067 001 579.84
0068 001 839.38
0069 001 750.48
0070 001 702.73
0071 001 830.62
0072 001 750.31
0073 001 522.81
0074 001 594.56
0075 001 579.80
0076 001 640.59
0077 001 499.54
0078 001 469.48
0079 001 413.71
0080 001 409.09
0081 001 413.34
0082 001 637.57
0083 001 659.55
0084 001 503.32
0085 001 638.28
0086 001 570.62
0087 001 808.86
0088 001 643.32
0089 001 828.07
0090 001 826.12
0091 001 698.27
0092 001 721.62
0093 001 581.57
0094 001 677.41
0095 001 828.23
0096 001 822.38
0097 001 617.57
0098 001 577.31
0099 001 490.96
0100 001 549.27
0101 001 933.51
0102 001 744.92
0103 001 461.35
0104 001 680.71
0105 001 604.74
0106 001 727.04
0107 001 1056.04
0108 001 736.28
0109 001 769.47
0110 001 1019.13
0111 001 1044.44
0112 001 600.77
0113 001 424.72
0114 001 860.90
0115 001 833.55
0116 001 902.24
0117 001 990.11
0118 001 801.34
0119 001 836.61
0120 001 1186.04
0121 001 755.53
0122 001 859.52
0123 001 617.04
0124 001 922.26
0125 001 911.45
0126 001 1184.57
0127 001 941.58
0128 001 1116.02
0129 001 1349.12
0130 001 833.09
0131 001 1038.22
0132 001 1078.13
0133 001 1064.75
0134 001 933.83
0135 001 786.74
0136 001 461.16
0137 001 1071.51
0138 001 826.73
0139 001 732.04
0140 001 957.56
0141 001 987.80
0142 001 1316.44
0143 001 990.44
0144 001 806.26
0145 001 1074.17
0146 001 1156.26
0147 001 921.08
0148 001 1036.72
0149 001 925.89
0150 001 747.09
0151 001 871.90
0152 001 921.90
0153 001 943.42
0154 001 1464.70
0155 001 1684.61
0156 001 1027.54
0157 001 834.15
0158 001 817.43
0159 001 790.60
0160 001 973.98
0161 001 850.69
0162 001 1526.46
0163 001 1022.52
0164 001 985.90
0165 001 1281.68
0166 001 1088.43
0167 001 1145.48
0168 001 1140.92
0169 001 1558.88
0170 001 934.17
0171 001 783.04
0172 001 1095.87
0173 001 1474.13
0174 001 1200.61
0175 001 1060.97
0176 001 1277.48
0177 001 1055.53
0178 001 864.53
0179 001 760.72
0180 001 1394.58
0181 001 1048.04
0182 001 971.48
0183 001 893.12
0184 001 787.33
0185 001 869.81
0186 001 1064.35
0187 001 1331.06
0188 001 931.55
0189 001 939.09
0190 001 984.09
0191 001 1249.68
0192 001 1341.12
0193 001 1294.37
0194 001 1414.29
0195 001 1193.56
0196 001 1022.80
0197 001 1691.37
0198 001 1443.96
0199 001 810.70
0200 001 1074.34
0201 001 1145.86
0202 001 944.55
0203 001 890.32
0204 001 1041.78
0205 001 1122.39
0206 001 936.91
0207 001 1365.05
0208 001 1277.03
0209 001 976.52
0210 001 917.70
0211 001 763.13
0212 001 844.49
0213 001 1097.40
0214 001 1001.95
0215 001 1490.96
0216 001 840.56
0217 001 886.28
0218 001 1088.70
0219 001 1104.27
0220 001 1222.70
0221 001 1326.88
0222 001 1067.78
0223 001 976.66
0224 001 928.13
0225 001 926.78
0226 001 1006.94
0227 001 1107.41
0228 001 708.63
0229 001 1072.95
0230 001 975.67
0231 001 739.72
0232 001 1063.22
0233 001 1027.71
0234 001 1007.68
0235 001 1095.71
0236 001 938.51
0237 001 1070.68
0238 001 936.60
0239 001 830.08
0240 001 1020.62
0241 001 1367.98
0242 001 898.46
0243 001 1276.39
0244 001 1318.44
0245 001 1078.07
0246 001 994.98
0247 001 1210.96
0248 001 1060.09
0249 001 1262.70
0250 001 1036.15
0251 001 1199.93
0252 001 1069.59
0253 001 887.73
0254 001 972.64
0255 001 857.40
0256 001 1831.96
