# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual temp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0001 001 -38.54
0002 001 -32.55
0003 001 -39.91
0004 001 -29.97
0005 001 -42.47
0006 001 -42.15
0007 001 -32.81
0008 001 -29.45
0009 001 -29.98
0010 001 -38.89
0011 001 -23.37
0012 001 -30.33
0013 001 -29.12
0014 001 -14.25
0015 001 -40.72
0016 001 -15.39
0017 001 -14.67
0018 001 -27.77
0019 001 -16.33
0020 001 -25.74
0021 001 -18.80
0022 001 -30.61
0023 001 -30.82
0024 001 -30.64
0025 001 -21.45
0026 001 -28.68
0027 001 -19.70
0028 001 -21.05
0029 001 -22.82
0030 001 -29.44
0031 001 -27.41
0032 001 -9.05
0033 001 -18.07
0034 001 -20.38
0035 001 -23.82
0036 001 -17.23
0037 001 -9.07
0038 001 -14.22
0039 001 -30.28
0040 001 -10.51
0041 001 -10.36
0042 001 -30.69
0043 001 -27.48
0044 001 -6.61
0045 001 -11.73
0046 001 -27.83
0047 001 -14.98
0048 001 -6.89
0049 001 -8.73
0050 001 -8.20
0051 001 -12.64
0052 001 -8.68
0053 001 -10.74
0054 001 -13.96
0055 001 -9.46
0056 001 -13.93
0057 001 -10.36
0058 001 -9.09
0059 001 -8.12
0060 001 -12.99
0061 001 -8.71
0062 001 -9.15
0063 001 -6.32
0064 001 -8.86
0065 001 -11.79
0066 001 1.31
0067 001 -11.04
0068 001 1.04
0069 001 -13.49
0070 001 -10.69
0071 001 1.21
0072 001 1.91
0073 001 0.54
0074 001 -5.10
0075 001 -5.11
0076 001 -12.27
0077 001 -3.73
0078 001 -3.88
0079 001 -4.11
0080 001 -4.06
0081 001 -3.91
0082 001 -10.51
0083 001 -0.99
0084 001 -3.05
0085 001 -3.74
0086 001 -7.65
0087 001 1.53
0088 001 -1.40
0089 001 1.25
0090 001 1.30
0091 001 2.26
0092 001 -5.57
0093 001 -5.12
0094 001 0.26
0095 001 1.33
0096 001 5.69
0097 001 -4.80
0098 001 1.13
0099 001 -0.33
0100 001 -2.63
0101 001 5.59
0102 001 1.94
0103 001 -3.41
0104 001 2.32
0105 001 -2.01
0106 001 4.04
0107 001 5.35
0108 001 4.14
0109 001 -1.13
0110 001 -0.81
0111 001 0.36
0112 001 -3.14
0113 001 -3.78
0114 001 3.38
0115 001 0.84
0116 001 5.78
0117 001 -1.43
0118 001 4.99
0119 001 5.68
0120 001 4.28
0121 001 -1.09
0122 001 4.63
0123 001 -5.07
0124 001 -1.72
0125 001 0.70
0126 001 5.47
0127 001 5.72
0128 001 5.41
0129 001 4.52
0130 001 0.88
0131 001 0.94
0132 001 2.04
0133 001 5.33
0134 001 4.34
0135 001 1.01
0136 001 -3.90
0137 001 2.75
0138 001 3.55
0139 001 4.25
0140 001 5.55
0141 001 5.50
0142 001 4.86
0143 001 -1.42
0144 001 5.62
0145 001 4.10
0146 001 1.80
0147 001 -1.72
0148 001 -0.30
0149 001 1.00
0150 001 4.77
0151 001 5.14
0152 001 5.75
0153 001 8.39
0154 001 7.87
0155 001 5.76
0156 001 8.36
0157 001 -1.63
0158 001 5.06
0159 001 -1.32
0160 001 8.23
0161 001 8.54
0162 001 6.28
0163 001 7.33
0164 001 5.44
0165 001 5.98
0166 001 6.96
0167 001 2.45
0168 001 8.48
0169 001 7.75
0170 001 5.01
0171 001 5.48
0172 001 4.97
0173 001 6.57
0174 001 6.91
0175 001 4.99
0176 001 6.15
0177 001 7.43
0178 001 5.03
0179 001 5.60
0180 001 5.76
0181 001 5.38
0182 001 8.45
0183 001 7.96
0184 001 5.95
0185 001 5.91
0186 001 4.87
0187 001 6.34
0188 001 7.11
0189 001 8.18
0190 001 8.38
0191 001 6.25
0192 001 5.56
0193 001 5.97
0194 001 6.82
0195 001 7.19
0196 001 7.98
0197 001 6.24
0198 001 5.97
0199 001 5.32
0200 001 4.87
0201 001 8.75
0202 001 8.46
0203 001 4.91
0204 001 7.15
0205 001 7.16
0206 001 8.28
0207 001 5.79
0208 001 6.11
0209 001 11.29
0210 001 4.95
0211 001 5.59
0212 001 11.75
0213 001 11.08
0214 001 7.05
0215 001 7.84
0216 001 5.15
0217 001 11.68
0218 001 10.65
0219 001 8.09
0220 001 9.95
0221 001 11.78
0222 001 11.17
0223 001 10.85
0224 001 11.14
0225 001 11.23
0226 001 10.21
0227 001 10.98
0228 001 10.59
0229 001 9.85
0230 001 11.45
0231 001 10.87
0232 001 10.76
0233 001 11.50
0234 001 8.18
0235 001 10.41
0236 001 11.60
0237 001 11.56
0238 001 11.34
0239 001 10.68
0240 001 11.37
