# ASCII data info: columns
# 1. region id 2. number of climates 
# 4..n dynamic-gdd
# Version info: 7.4.0.287 (R2007a) lemmen@grpsrv05 GLNXA64 L linux 02-Feb-2009 11:04:12 /h/lemmen/projects/glues/glues/glues-1.1.2/visual/matlab  write_region_climber.m write_region_climber 02-Feb-2009 10:59:02 (c)2009 lemmen
0001    23 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0002    23 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 88 88 88
0003    23 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
0004    23 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92
0005    23 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
0006    23 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
0007    23 93 93 93 93 93 93 93 93 93 93 93 93 93 93 93 93 93 93 93 93 93 93 93
0008    23 93 93 92 92 90 90 90 90 90 90 90 90 90 90 89 89 88 88 86 86 86 86 86
0009    23 115 115 115 115 115 115 115 115 115 115 115 115 120 120 120 120 120 120 120 120 120 120 120
0010    23 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
0011    23 171 171 171 171 171 171 171 171 171 171 171 171 171 171 171 171 171 171 171 171 171 171 171
0012    23 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133
0013    23 130 130 130 130 130 130 130 128 128 128 128 128 128 128 128 128 128 128 128 128 122 122 122
0014    23 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
0015    23 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
0016    23 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
0017    23 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
0018    23 121 121 121 121 121 121 121 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
0019    23 134 134 134 134 129 129 129 129 129 129 129 129 129 129 129 129 129 129 129 129 129 129 129
