# ASCII data info: columns
# 1. region id 2. number of climates 
# 4..n dynamic-gdd
# Version info: 7.7.0.471 (R2008b) lemmen@grpsrv05 GLNXA64 L linux 05-Feb-2009 17:31:34 /h/lemmen/projects/glues/glues/glues-1.1.2/visual/matlab  write_region_iiasaclimber_kai.m write_region_iiasaclimber_kai 05-Feb-2009 17:31:32 (c)2009 lemmen
# File converted from ../../examples/setup/685/reg_gdd_80_685.dat
0001    23 4.6 4.4 4.4 3.4 3.2 3.1 2.6 2.6 2.5 1.6 1.4 1.4 1.2 1.2 1.1 1.0 1.0 1.0 1.0 0.9 0.9 0.9 0.9
0002    23 1.0 1.0 1.0 1.0 0.7 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0003    23 0.2 0.2 0.2 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1
0004    23 4.5 4.4 3.9 3.7 3.4 3.4 3.0 3.0 2.8 2.6 2.5 2.5 2.5 2.3 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1
0005    23 38.0 37.5 35.4 32.9 32.3 29.1 26.8 25.4 23.1 21.7 17.5 16.5 13.7 12.6 11.2 9.9 7.9 7.9 7.1 7.5 7.5 7.0 7.5
0006    23 58.3 57.1 55.7 54.7 52.5 50.7 48.3 46.2 43.5 40.9 38.8 36.8 34.9 33.4 32.1 30.9 30.2 29.4 29.0 28.2 28.2 28.3 28.4
0007    23 30.9 28.8 28.6 28.2 27.3 26.3 25.5 23.7 23.0 20.9 19.3 18.5 16.9 16.2 15.3 14.3 13.1 12.5 11.9 11.5 10.6 10.5 10.5
0008    23 3.4 3.3 3.2 3.1 2.7 2.2 2.2 2.1 2.0 1.4 1.3 1.3 1.3 0.9 0.8 0.8 0.8 0.8 0.7 0.6 0.6 0.6 0.6
0009    23 39.2 38.5 37.9 36.7 35.7 34.4 33.1 32.1 30.0 28.8 27.4 25.7 24.7 22.8 22.0 21.2 20.4 19.8 19.3 18.8 18.6 18.5 18.5
0010    23 60.3 58.9 58.2 57.4 56.6 55.0 53.9 52.7 51.5 49.7 48.5 47.2 46.2 44.6 43.4 42.5 41.9 41.1 40.1 39.7 39.7 39.4 39.6
0011    23 114.7 113.4 113.1 111.8 110.5 108.4 107.6 106.1 104.7 104.0 101.9 99.8 99.1 97.9 97.7 96.3 95.7 94.3 93.4 93.5 92.7 92.9 93.0
0012    23 58.5 57.9 57.9 56.8 56.8 55.3 53.4 52.3 49.8 48.1 45.3 43.5 41.5 40.1 38.6 37.4 36.2 35.1 34.6 34.5 34.4 34.0 33.8
0013    23 72.6 71.9 72.1 71.5 70.8 69.9 68.2 66.6 64.6 62.1 60.1 57.7 55.8 54.2 53.4 51.6 50.3 48.5 48.6 48.1 48.4 47.5 47.5
0014    23 56.1 54.4 52.4 49.9 48.4 45.4 43.8 40.9 38.4 35.4 33.4 31.4 29.8 28.2 27.9 26.3 25.5 24.3 23.1 23.1 21.6 21.6 21.5
0015    23 97.3 96.5 95.7 94.7 93.4 90.9 90.0 87.9 86.1 84.1 82.1 80.7 79.5 78.2 76.4 75.2 74.5 73.8 73.3 72.9 72.5 72.6 72.7
0016    23 69.5 68.6 67.4 64.2 62.5 60.5 57.7 55.6 53.1 50.4 48.0 46.3 44.4 43.1 41.8 41.2 40.0 39.4 38.7 37.7 37.5 36.7 36.3
0017    23 61.4 59.3 58.2 56.0 53.9 51.6 49.5 47.0 44.9 42.7 40.6 38.9 37.7 36.4 35.3 34.6 33.2 33.0 32.1 31.5 31.2 30.6 30.6
0018    23 75.6 75.9 75.6 75.6 75.0 73.7 72.9 71.3 69.6 68.2 66.1 64.4 62.8 60.7 59.2 58.4 57.9 56.6 55.9 55.5 54.7 55.2 54.9
0019    23 40.9 39.2 38.1 37.0 36.3 33.9 33.2 30.7 29.5 28.5 26.1 24.8 24.0 22.5 21.7 20.1 19.9 18.6 17.8 16.7 16.5 16.2 16.2
0020    23 105.9 105.0 105.0 103.9 103.0 102.3 100.8 99.4 97.9 97.0 96.3 95.4 93.4 92.3 91.9 91.5 91.0 90.3 89.9 89.9 89.4 89.4 89.9
0021    23 58.9 57.8 56.8 55.8 53.7 51.4 48.2 45.8 43.5 40.6 37.5 34.9 31.8 30.6 28.9 27.4 26.1 25.5 24.6 23.1 22.9 22.1 22.1
0022    23 93.8 93.8 93.8 94.1 94.1 94.1 92.9 92.5 91.2 89.8 88.2 87.2 85.6 85.2 84.4 83.4 82.2 82.1 81.2 80.5 80.9 80.5 80.2
0023    23 77.9 77.9 78.4 78.4 78.4 78.2 78.0 77.4 76.8 75.8 74.4 72.8 71.9 70.6 68.9 68.6 68.2 67.2 66.6 66.4 66.4 66.4 65.1
0024    23 77.7 77.7 78.5 78.5 78.5 78.5 78.5 78.1 77.7 77.7 75.9 75.1 74.6 72.4 71.8 71.5 70.4 69.7 68.6 68.6 68.6 68.2 66.9
0025    23 131.1 131.5 131.0 129.4 127.5 127.1 125.9 124.1 122.5 120.2 118.1 115.7 114.0 111.2 110.2 108.0 106.3 106.3 104.2 104.0 103.1 103.2 103.0
0026    23 92.6 92.9 93.3 93.8 94.0 94.0 94.0 94.0 93.9 93.0 92.9 92.0 91.0 90.4 89.5 88.6 87.4 86.5 86.0 85.0 84.8 83.9 82.9
0027    23 63.8 62.2 61.4 59.5 58.0 55.6 53.9 51.4 49.2 46.8 44.6 42.7 41.6 40.4 38.7 38.0 36.8 35.7 33.7 33.3 31.9 31.3 31.8
