00001     1 2.992436e+03  555  150   2	27:1:1	2:1:1
00002     1 2.992436e+03  556  150   3	28:1:1	3:1:1	1:1:1
00003     1 2.992436e+03  557  150   3	29:1:1	4:1:1	2:1:1
00004     1 2.992436e+03  558  150   3	30:1:1	5:1:1	3:1:1
00005     1 2.992436e+03  559  150   3	31:1:1	6:1:1	4:1:1
00006     1 2.992436e+03  560  150   3	32:1:1	7:1:1	5:1:1
00007     1 2.992436e+03  561  150   3	33:1:1	8:1:1	6:1:1
00008     1 2.992436e+03  562  150   3	34:1:1	9:1:1	7:1:1
00009     1 2.992436e+03  563  150   3	35:1:1	10:1:1	8:1:1
00010     1 2.992436e+03  564  150   3	36:1:1	11:1:1	9:1:1
00011     1 2.992436e+03  565  150   3	37:1:1	12:1:1	10:1:1
00012     1 2.992436e+03  566  150   3	38:1:1	13:1:1	11:1:1
00013     1 2.992436e+03  567  150   3	39:1:1	14:1:1	12:1:1
00014     1 2.992436e+03  568  150   3	40:1:1	15:1:1	13:1:1
00015     1 2.992436e+03  569  150   3	41:1:1	16:1:1	14:1:1
00016     1 2.992436e+03  570  150   3	42:1:1	17:1:1	15:1:1
00017     1 2.992436e+03  571  150   3	43:1:1	18:1:1	16:1:1
00018     1 2.992436e+03  572  150   3	44:1:1	19:1:1	17:1:1
00019     1 2.992436e+03  573  150   3	45:1:1	20:1:1	18:1:1
00020     1 2.992436e+03  574  150   3	46:1:1	21:1:1	19:1:1
00021     1 2.992436e+03  575  150   3	47:1:1	22:1:1	20:1:1
00022     1 2.992436e+03  576  150   3	48:1:1	23:1:1	21:1:1
00023     1 2.992436e+03  577  150   1	22:1:1
00024     1 2.992436e+03  600  150   2	49:1:1	25:1:1
00025     1 2.992436e+03  601  150   3	50:1:1	26:1:1	24:1:1
00026     1 2.992436e+03  602  150   2	51:1:1	25:1:1
00027     1 2.985325e+03  555  149   3	56:1:1	28:1:1	1:1:1
00028     1 2.985325e+03  556  149   4	57:1:1	29:1:1	2:1:1	27:1:1
00029     1 2.985325e+03  557  149   4	58:1:1	30:1:1	3:1:1	28:1:1
00030     1 2.985325e+03  558  149   4	59:1:1	31:1:1	4:1:1	29:1:1
00031     1 2.985325e+03  559  149   4	60:1:1	32:1:1	5:1:1	30:1:1
00032     1 2.985325e+03  560  149   4	61:1:1	33:1:1	6:1:1	31:1:1
00033     1 2.985325e+03  561  149   4	62:1:1	34:1:1	7:1:1	32:1:1
00034     1 2.985325e+03  562  149   4	63:1:1	35:1:1	8:1:1	33:1:1
00035     1 2.985325e+03  563  149   4	64:1:1	36:1:1	9:1:1	34:1:1
00036     1 2.985325e+03  564  149   4	65:1:1	37:1:1	10:1:1	35:1:1
00037     1 2.985325e+03  565  149   4	66:1:1	38:1:1	11:1:1	36:1:1
00038     1 2.985325e+03  566  149   4	67:1:1	39:1:1	12:1:1	37:1:1
00039     1 2.985325e+03  567  149   4	68:1:1	40:1:1	13:1:1	38:1:1
00040     1 2.985325e+03  568  149   4	69:1:1	41:1:1	14:1:1	39:1:1
00041     1 2.985325e+03  569  149   4	70:1:1	42:1:1	15:1:1	40:1:1
00042     1 2.985325e+03  570  149   4	71:1:1	43:1:1	16:1:1	41:1:1
00043     1 2.985325e+03  571  149   4	72:1:1	44:1:1	17:1:1	42:1:1
00044     1 2.985325e+03  572  149   4	73:1:1	45:1:1	18:1:1	43:1:1
00045     1 2.985325e+03  573  149   4	74:1:1	46:1:1	19:1:1	44:1:1
00046     1 2.985325e+03  574  149   4	75:1:1	47:1:1	20:1:1	45:1:1
00047     1 2.985325e+03  575  149   4	76:1:1	48:1:1	21:1:1	46:1:1
00048     1 2.985325e+03  576  149   2	22:1:1	47:1:1
00049     1 2.985325e+03  600  149   2	50:1:1	24:1:1
00050     1 2.985325e+03  601  149   4	77:1:1	51:1:1	25:1:1	49:1:1
