# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n dynamic-npp
# Version info: 7.4.0.287 (R2007a) lemmen@grpsrv05 GLNXA64 L linux 02-Feb-2009 11:08:25 /h/lemmen/projects/glues/glues/glues-1.1.2/visual/matlab  write_region_iiasa.m write_region_iiasa 02-Feb-2009 11:08:22 (c)2009 lemmen
0001     1 23
0002     1 24
0003     1 162
0004     1 45
0005     1 145
0006     1 72
0007     1 54
0008     1 52
0009     1 65
0010     1 67
0011     1 288
0012     1 120
0013     1 103
0014     1 75
0015     1 75
0016     1 114
0017     1 88
0018     1 92
0019     1 156
0020     1 275
0021     1 94
0022     1 211
0023     1 175
0024     1 150
0025     1 302
0026     1 136
0027     1 76
0028     1 277
0029     1 330
0030     1 258
0031     1 93
0032     1 169
0033     1 92
0034     1 349
0035     1 88
0036     1 133
0037     1 179
0038     1 132
0039     1 80
0040     1 376
0041     1 337
0042     1 239
0043     1 105
0044     1 161
0045     1 326
0046     1 81
0047     1 120
0048     1 168
0049     1 383
0050     1 144
0051     1 304
0052     1 342
0053     1 369
0054     1 206
0055     1 427
0056     1 253
0057     1 124
0058     1 317
0059     1 131
0060     1 196
0061     1 197
0062     1 234
0063     1 143
0064     1 419
0065     1 153
0066     1 228
0067     1 136
0068     1 246
0069     1 320
0070     1 125
0071     1 242
0072     1 146
0073     1 159
0074     1 477
0075     1 460
0076     1 361
0077     1 313
0078     1 302
0079     1 283
0080     1 260
0081     1 256
0082     1 144
0083     1 350
0084     1 221
0085     1 425
0086     1 238
0087     1 213
0088     1 184
0089     1 303
0090     1 280
0091     1 183
0092     1 562
0093     1 491
0094     1 226
0095     1 281
0096     1 348
0097     1 490
0098     1 182
0099     1 187
0100     1 245
0101     1 354
0102     1 243
0103     1 264
0104     1 219
0105     1 203
0106     1 181
0107     1 304
0108     1 287
0109     1 559
0110     1 515
0111     1 485
0112     1 396
0113     1 296
0114     1 163
0115     1 372
0116     1 272
0117     1 446
0118     1 196
0119     1 273
0120     1 222
0121     1 644
0122     1 267
0123     1 548
0124     1 457
0125     1 465
0126     1 255
0127     1 294
0128     1 281
0129     1 268
0130     1 423
