# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n dynamic-npp
# Version info: 7.7.0.471 (R2008b) lemmen@grpsrv05 GLNXA64 L linux 05-Feb-2009 17:31:34 /h/lemmen/projects/glues/glues/glues-1.1.2/visual/matlab  write_region_iiasaclimber_kai.m write_region_iiasaclimber_kai 05-Feb-2009 17:31:32 (c)2009 lemmen
# File converted from ../../examples/setup/685/reg_npp_80_685.dat
0001    23 43.200000 42.900000 42.400000 42.200000 41.700000 40.500000 39.800000 39.400000 38.600000 37.300000 35.500000 33.500000 31.600000 29.700000 27.700000 26.000000 25.400000 23.500000 22.300000 21.200000 19.800000 19.900000 20.100000
0002    23 51.200000 50.200000 49.300000 47.700000 46.700000 45.900000 43.400000 40.700000 39.100000 37.600000 35.000000 31.800000 30.300000 28.600000 27.700000 24.200000 22.800000 21.400000 19.900000 18.700000 18.400000 18.800000 18.800000
0003    23 188.700000 186.900000 186.600000 184.700000 183.600000 182.800000 181.000000 179.300000 175.900000 173.900000 171.800000 169.900000 168.600000 168.000000 166.500000 164.800000 164.700000 162.600000 162.400000 162.400000 161.000000 161.000000 161.000000
0004    23 55.500000 55.500000 55.200000 55.100000 55.100000 54.800000 54.500000 54.500000 53.100000 52.800000 51.600000 49.700000 48.300000 47.000000 46.600000 45.900000 45.200000 44.400000 44.400000 44.200000 43.900000 43.900000 43.900000
0005    23 168.000000 166.900000 166.700000 164.900000 163.300000 162.800000 160.900000 159.000000 157.500000 155.200000 152.700000 150.900000 149.500000 148.300000 147.400000 146.500000 146.100000 143.900000 143.600000 143.400000 143.300000 143.100000 142.400000
0006    23 85.100000 84.700000 84.000000 83.200000 82.400000 81.700000 80.900000 79.900000 78.800000 77.700000 76.700000 75.500000 74.500000 73.700000 72.800000 72.200000 72.000000 71.400000 71.200000 70.600000 70.500000 70.500000 70.500000
0007    23 64.900000 64.600000 64.400000 63.600000 62.800000 62.200000 61.000000 60.200000 59.600000 58.900000 58.000000 57.100000 56.800000 56.100000 55.600000 55.300000 55.300000 54.500000 54.200000 54.100000 53.700000 53.700000 53.700000
0008    23 57.000000 56.600000 56.200000 54.900000 54.600000 53.400000 52.400000 51.800000 50.700000 49.600000 47.800000 46.800000 46.000000 45.500000 44.600000 42.300000 42.200000 41.400000 40.800000 40.200000 40.000000 40.100000 40.200000
0009    23 76.600000 76.200000 76.000000 75.300000 74.600000 73.900000 73.300000 72.900000 71.700000 70.500000 69.400000 69.000000 68.100000 67.500000 66.600000 66.200000 65.700000 64.900000 64.500000 64.300000 63.900000 63.900000 63.900000
0010    23 82.000000 81.000000 78.700000 78.300000 77.300000 76.400000 75.900000 75.700000 75.500000 75.300000 74.900000 73.900000 72.400000 70.800000 69.700000 68.300000 67.300000 66.900000 66.500000 66.500000 65.900000 65.900000 65.900000
0011    23 321.000000 320.800000 318.500000 318.500000 315.400000 314.700000 311.600000 308.800000 306.100000 305.200000 302.200000 298.500000 296.600000 294.600000 294.400000 292.700000 291.400000 291.200000 290.100000 290.100000 288.200000 288.200000 288.200000
0012    23 136.200000 136.200000 135.700000 135.100000 134.200000 132.900000 132.200000 130.700000 129.500000 127.700000 126.200000 124.900000 123.900000 122.700000 122.200000 121.800000 121.000000 120.600000 119.700000 119.700000 119.700000 119.700000 119.100000
0013    23 119.300000 119.100000 118.300000 118.200000 117.500000 116.000000 114.600000 113.200000 111.700000 110.300000 109.100000 108.100000 107.000000 106.700000 105.400000 105.000000 104.400000 104.000000 103.800000 103.600000 103.500000 103.500000 103.500000
0014    23 95.200000 94.300000 93.200000 93.200000 92.300000 91.000000 89.400000 88.900000 87.600000 85.900000 84.200000 82.800000 80.900000 79.800000 78.600000 78.400000 77.400000 76.600000 75.800000 75.200000 74.900000 74.500000 74.500000
0015    23 87.600000 86.900000 86.400000 85.400000 84.800000 84.000000 83.200000 82.400000 81.800000 80.700000 79.700000 78.900000 78.200000 77.500000 76.500000 75.700000 75.400000 74.800000 74.400000 74.300000 74.000000 73.900000 73.900000
0016    23 132.700000 131.200000 131.100000 130.100000 129.400000 128.700000 127.200000 125.600000 124.500000 123.400000 122.100000 120.900000 118.700000 117.500000 117.200000 116.200000 115.700000 114.600000 114.200000 113.200000 113.300000 113.300000 113.300000
0017    23 111.600000 111.400000 109.900000 109.200000 108.400000 107.500000 105.400000 103.900000 103.200000 100.600000 98.500000 97.000000 95.100000 93.100000 91.600000 91.300000 90.000000 89.400000 88.300000 87.500000 87.100000 87.400000 87.300000
0018    23 105.800000 105.300000 104.800000 104.300000 103.300000 102.600000 101.600000 100.400000 99.000000 98.500000 97.500000 96.300000 95.200000 94.800000 94.300000 93.400000 93.200000 92.000000 91.700000 91.400000 91.400000 91.300000 91.300000
0019    23 174.600000 174.500000 173.800000 172.400000 171.600000 170.700000 169.300000 168.000000 166.700000 164.900000 163.000000 161.900000 161.000000 159.300000 158.000000 157.600000 157.100000 155.800000 155.200000 154.400000 154.400000 154.400000 154.400000
0020    23 304.200000 302.300000 302.300000 300.900000 299.200000 297.500000 295.900000 292.900000 291.300000 288.200000 286.400000 283.200000 281.900000 280.200000 278.800000 277.200000 277.200000 276.100000 275.400000 275.400000 275.400000 275.400000 275.400000
0021    23 108.700000 108.700000 107.300000 107.300000 106.200000 105.300000 104.000000 103.300000 102.100000 100.300000 99.200000 98.100000 97.000000 96.300000 96.000000 94.700000 94.700000 94.000000 94.000000 93.200000 93.200000 93.200000 93.200000
0022    23 235.100000 234.900000 232.400000 232.400000 230.000000 228.600000 227.500000 226.100000 223.700000 221.400000 219.000000 217.600000 216.500000 215.100000 215.100000 214.300000 212.900000 212.900000 212.500000 210.400000 210.400000 210.400000 210.400000
0023    23 195.800000 193.300000 193.300000 192.600000 191.300000 189.500000 189.500000 187.800000 185.700000 183.700000 181.200000 179.400000 179.400000 177.800000 177.800000 176.000000 176.000000 176.000000 174.700000 174.700000 174.600000 174.600000 174.600000
0024    23 166.600000 166.100000 166.100000 164.800000 164.800000 162.900000 162.900000 160.500000 158.600000 157.300000 156.100000 154.500000 154.500000 153.200000 153.200000 151.000000 151.000000 150.300000 148.900000 148.900000 148.900000 148.900000 148.900000
0025    23 329.700000 329.100000 329.000000 326.900000 326.000000 322.900000 321.500000 320.500000 317.400000 313.900000 310.800000 309.200000 306.400000 305.600000 302.600000 302.600000 302.600000 299.700000 299.700000 299.700000 299.700000 299.700000 299.700000
0026    23 151.600000 151.100000 150.400000 150.100000 149.600000 147.900000 147.300000 145.900000 144.800000 143.900000 142.100000 140.600000 139.900000 138.900000 137.900000 137.700000 137.000000 136.100000 136.100000 135.700000 135.600000 135.200000 135.200000
0027    23 88.200000 87.900000 87.800000 87.200000 86.500000 85.300000 85.000000 84.200000 83.300000 82.000000 80.500000 80.100000 79.400000 79.000000 77.700000 77.000000 76.700000 76.100000 75.900000 75.000000 74.900000 74.900000 74.900000
0028    23 308.900000 307.300000 306.800000 306.400000 303.900000 299.900000 299.500000 297.400000 295.700000 292.200000 288.800000 286.400000 285.600000 284.600000 281.500000 281.400000 281.400000 278.000000 277.900000 277.900000 277.900000 277.900000 277.900000
0029    23 358.700000 358.700000 356.900000 356.200000 354.100000 353.100000 350.200000 349.400000 345.600000 344.900000 341.500000 339.200000 336.400000 333.900000 333.600000 333.600000 331.900000 329.800000 329.800000 329.900000 328.900000 328.900000 328.900000
0030    23 285.200000 285.100000 284.100000 282.400000 281.700000 280.200000 277.400000 275.900000 273.400000 271.300000 268.200000 266.800000 264.500000 263.300000 261.600000 260.700000 260.700000 259.800000 259.800000 258.300000 258.000000 258.000000 258.000000
0031    23 105.200000 104.700000 104.100000 103.400000 103.200000 102.500000 101.600000 101.100000 99.800000 99.500000 98.400000 97.500000 96.500000 94.800000 94.400000 93.900000 93.500000 93.300000 93.100000 92.700000 92.400000 92.400000 92.400000
0032    23 193.400000 193.000000 190.900000 190.900000 188.700000 187.800000 185.500000 183.900000 182.400000 180.900000 178.600000 176.300000 173.900000 172.600000 171.300000 170.500000 169.700000 168.800000 167.800000 167.700000 167.500000 167.300000 167.300000
0033    23 107.100000 106.800000 106.300000 105.600000 105.100000 104.200000 103.100000 102.400000 101.300000 100.100000 98.400000 97.400000 96.500000 95.600000 94.400000 93.900000 93.300000 92.700000 92.200000 91.500000 91.200000 91.200000 91.200000
0034    23 382.500000 382.300000 380.700000 379.200000 377.300000 375.700000 374.800000 370.500000 367.500000 366.200000 362.200000 360.800000 357.700000 356.300000 354.500000 353.500000 353.500000 352.500000 349.500000 349.500000 349.500000 349.500000 349.500000
0035    23 98.700000 98.500000 97.800000 97.300000 96.600000 95.800000 95.100000 94.500000 93.400000 92.300000 91.100000 90.300000 89.300000 88.700000 88.200000 87.400000 87.000000 86.400000 86.300000 85.800000 85.800000 85.700000 85.700000
0036    23 154.000000 153.800000 152.200000 152.100000 149.600000 148.400000 147.000000 146.600000 145.100000 142.600000 141.200000 139.900000 137.600000 137.600000 136.200000 135.400000 135.100000 133.600000 133.500000 132.200000 132.200000 132.200000 132.200000
0037    23 206.100000 203.600000 203.600000 201.100000 201.100000 199.300000 197.800000 196.200000 194.600000 191.300000 189.900000 188.100000 186.600000 184.800000 184.300000 182.700000 182.700000 180.300000 180.000000 178.700000 178.700000 178.700000 178.700000
0038    23 149.800000 148.200000 148.100000 146.500000 146.400000 144.800000 143.700000 142.900000 141.400000 140.200000 138.400000 136.600000 135.700000 135.300000 133.800000 132.900000 132.300000 131.300000 131.200000 130.100000 130.000000 130.000000 130.000000
0039    23 91.200000 91.000000 90.400000 89.800000 89.100000 88.000000 87.300000 86.400000 85.600000 84.800000 83.800000 82.800000 82.200000 81.600000 80.700000 79.700000 79.600000 78.900000 78.500000 77.600000 77.400000 77.400000 77.400000
0040    23 410.300000 409.100000 408.000000 406.000000 404.700000 402.600000 400.000000 398.200000 395.700000 393.100000 389.700000 387.500000 386.000000 384.000000 381.700000 380.600000 380.600000 378.100000 377.600000 377.200000 377.200000 376.500000 375.500000
0041    23 367.700000 365.700000 364.700000 364.700000 362.400000 360.500000 358.600000 356.200000 354.300000 351.100000 346.900000 345.000000 344.600000 341.400000 341.400000 340.200000 338.900000 338.300000 336.600000 336.600000 336.400000 336.400000 336.400000
0042    23 261.800000 261.000000 260.400000 259.600000 257.500000 256.800000 255.000000 253.000000 251.300000 249.100000 246.500000 245.300000 244.000000 242.100000 241.600000 241.000000 239.700000 239.300000 238.800000 238.300000 238.300000 238.300000 238.300000
0043    23 116.100000 115.800000 115.700000 114.700000 114.500000 112.700000 112.400000 111.600000 110.600000 110.100000 108.700000 107.700000 107.300000 106.200000 105.800000 105.500000 105.100000 105.000000 104.000000 103.900000 103.900000 103.900000 103.900000
0044    23 184.200000 183.200000 182.600000 181.100000 180.800000 179.500000 177.700000 176.600000 174.500000 172.500000 170.800000 169.100000 168.300000 166.700000 164.700000 163.700000 163.500000 161.500000 160.700000 159.900000 159.800000 159.800000 159.800000
0045    23 354.400000 353.200000 353.100000 350.900000 348.500000 347.400000 346.000000 343.900000 342.200000 337.800000 336.400000 334.000000 332.100000 330.800000 328.800000 327.900000 327.900000 326.600000 325.600000 325.400000 325.400000 325.400000 325.400000
0046    23 90.100000 90.100000 89.200000 89.100000 88.400000 87.700000 86.900000 86.300000 85.700000 84.600000 83.800000 82.800000 82.100000 81.800000 81.000000 80.300000 80.000000 79.800000 79.100000 79.100000 79.000000 78.900000 78.700000
0047    23 139.100000 137.300000 137.100000 136.000000 135.500000 134.000000 132.800000 131.600000 130.200000 129.100000 127.600000 126.500000 124.600000 123.400000 122.600000 121.900000 121.100000 120.700000 119.500000 119.300000 118.700000 118.300000 118.700000
0048    23 192.100000 191.700000 191.000000 190.600000 188.900000 188.300000 186.700000 185.000000 182.300000 180.700000 179.300000 177.600000 176.900000 175.300000 173.100000 171.000000 171.000000 169.700000 169.600000 168.700000 167.700000 167.700000 167.700000
0049    23 412.100000 411.900000 411.900000 408.100000 408.100000 406.000000 405.900000 402.900000 398.600000 396.200000 395.500000 392.700000 388.700000 388.700000 385.500000 385.500000 385.500000 383.600000 382.800000 382.800000 382.800000 382.800000 382.800000
0050    23 163.300000 163.300000 161.900000 161.600000 160.600000 159.700000 158.200000 156.200000 155.000000 153.100000 151.700000 150.100000 149.100000 147.900000 147.300000 146.400000 145.800000 145.000000 145.000000 143.400000 142.900000 142.900000 142.900000
0051    23 330.500000 329.400000 329.400000 327.600000 326.500000 324.600000 323.600000 321.400000 318.600000 317.500000 314.800000 311.200000 309.400000 308.400000 308.300000 307.200000 307.200000 306.000000 306.000000 306.000000 304.500000 304.500000 304.500000
0052    23 371.100000 371.100000 371.100000 368.100000 368.100000 365.200000 365.200000 362.300000 357.900000 357.900000 354.900000 352.200000 349.100000 349.100000 346.100000 345.400000 345.400000 345.400000 343.200000 343.200000 343.200000 343.200000 343.200000
0053    23 398.500000 396.500000 395.900000 395.200000 393.200000 391.600000 389.800000 386.500000 385.300000 382.300000 380.100000 376.700000 375.400000 373.000000 372.400000 372.400000 370.600000 370.300000 368.700000 368.700000 368.700000 368.700000 368.700000
