No;No_sort;Datafile;t_min;t_max;Plotname;Proxy;Interpret;Latitude;Longitude;CutoffFreq;SourcePDF;Source ;Comment
1;1;NAtlantic_SST_boreas_32_447.dat;1;11;N Atlantic;SST;??;75;13.97;-1;boreas_32_447.pdf;Sarnthein2003;GIK23258-2
2;2;boreas_32_485_PollenTemp.dat;0;11;N Siberia;Pollen;T7;74;100;-1;boreas_32_485.pdf;Andreev2003;Andreev2003_etal_bor, Multi, Pollen spectra information-statistical reconstruction, Also available T, T1, P
3;3;GISP2_intcal98_14c.dat;0;11;Greenland Ice;$\delta^{14}$C;??;72.6;-38.5;-1;???;Stuiver1998;??
4;4;sunspot_natur_431_1084_xpm.dat;0;11;Greenland Ice;SSN;Solar events;72.6;-38.5;-1;nature_431_1084.pdf;Solanki2004;??
5;5;holo_d18O_ice.dat;0;10;Greenland Ice;$\delta^{18}$O;??;72.6;-38.5;-1;?jgeophysres_102_26455.pdf;Grootes1997;??
6;6;Greenland_Be10.dat;3;11;Greenland Ice;Be$^{10}$;Solar activity;72.6;-38.5;-1;?jgeophysres_102_26699.pdf;Finkel1997;??
7;7;Norway_Temp_holocene_14_877.dat;1;8;N Norway;T;??;69;16;-1;holocene_14_877.pdf;Husum2004;??
8;8;GSD_Sweden_jquatsci_18_757.dat;1;11;Sweden;GSD;??;68.2;18.5;-1;jquatsci_18_757.pdf;Rubensdotter2003;GSD in Swedish lakes minerogenic accumulation
9;9;NAtlantic_nature_421_354_Haematite.dat;0;11;N Atlantic;HSG;??;68.18;-29.6;-1;nature_421_354.pdf;Gupta2003;??
10;10;Finland_Temp_holocene_14_877.dat;1;8;N Finland;T;??;68;25;-1;holocene_14_877.pdf;Husum2004;??
11;11;Kola_qsr_23_833_d18O.dat;0;9;Kola;$\delta^{18}$O;??;67.95;32.48;-1;qsr_23_833.pdf;Jones2004;??
12;12;holo_NA_eolian.dat;1;11;N Atlantic;LG;??;64.78;-29.57;11;science_278_1257.pdf;Bond1997;site?
13;13;MgCa_Alaska_quatres_49_86.dat;0;11;NW Alaska;Mg/Ca T;??;62.33;-153.4;-1;quatres_49_86.pdf;Hu1998;??
14;14;Schiff2008_Alaska_LkMica_d18O_diatom.dat;0;9;Mica Lk, Alaska;Storminess;diatom d18O;60.95;148.15;NaN;??;Schiff2009;
15;15;NAtlantic_Lightness_holocene_10_287.dat;1;11;N Atlantic;GSD;??;56.2;27.5;-1;holocene_10_287.pdf;Chapman2000;??
16;16;TempAnom_NW_quatscirev_22_1701.dat;0;11;NW Europe;$\Delta$T;??;55;-2;-1;quatscirev_22_1701.pdf;Davis2003;??
17;17;HSG_science_294_2130.dat;0;11;N Atlantic;HSG;??;54.17;-16.48;-1;science_294_2130.pdf;Bond2001;??
18;18;WCanada_canjbot_81_267_bulkdensity.dat;0;8;W Canada;Density;??;53.58;-118.02;-1;canjbot_81_267.pdf;Yu2003;??
19;19;Ireland_qsr_23_901_d18O.dat;0;10;Ireland;$\delta^{18}$O;??;52.24;-9.47;-1;qsr_23_901.pdf;McDermott2004;approx. site (castleisland)
20;20;ECanada_Pessiere_joe_89_930_CAR.dat;0;8;E Canada;Charcoal;??;49.5;-79.23;-1;joe_89_930.pdf;Carcaillet2001;??
21;21;ECanada_Francis_joe_89_930_CAR.dat;0;7;E Canada;Charcoal;??;48.52;-79.47;-1;joe_89_930.pdf;Carcaillet2001;??
22;22;holo_Ammersee_d18O.dat;0;11;S Germany;$\delta^{18}$O;??;47.1;11.02;11;climdyn_14_73.pdf;VonGrafenstein1998;??
23;23;moonlake_sal.dat;0;11;Moon Lk, ND;Salinity;??;46.86;-98.16;-1;clivar_poster.pdf;Laird1996;??
24;24;SwissAlp_jpaleolim_30_261_JulTemp.dat;0;9;Swiss Alpes;T7;??;46.67;7.97;-1;jpaleolim_30_261.pdf;Wick2003;??
25;25;Precip_jpaleolimn_30_261.dat;0;8;Swiss Alpes;P;??;46.67;7.97;-1;jpaleolimn_30_261;Wick2003;??
26;26;SwissAlp_jpaleolim_30_261_Prec.dat;0;9;Swiss Alpes;P  ;??;46.67;7.97;-1;jpaleolim_30_261.pdf;Wick2003;??
27;27;Drysdale2007BucadellaRenella_Italy_d18O.dat;1;7;C Italy;$\delta^{18}$O;??;45;11;NaN;??;Drysdale2006;Calcite flowstone, alos d13C
28;28;Minnesota_Sharkey_joe_91_822_CHAR.dat;0;11;Sharkey, MN;Charcoal;??;44.58;-93.4;7.5;joe_91_822.pdf;Camill2003;??
29;29;NWPacific_ThaNitz_holocene_14_641.dat;0;7;NW Pacific;\%Nitzschia;??;44.5;145;-1;holocene_14_641.pdf;Shimada2004;??
30;30;NWPacific_ozeanica_holocene_14_641.dat;0;7;NW Pacific;\%Ozeanica;??;44.5;145;-1;holocene_14_641.pdf;Shimada2004;??
31;31;Minnesota_Kimble_joe_91_822_CHAR.dat;0;11;Kimble, MN;Charcoal;??;44.22;-93.83;-1;joe_91_822.pdf;Camill2003;??
