"No";"No_sort";"Datafile";"t_min";"t_max";"Plotname";"Proxy";"Interpret";"Latitude";"Longitude";"CutoffFreq";"SourcePDF";"Source ";"Comment"
1;1;"MgCa_Alaska_quatres_49_86.dat";0;11;"NW Alaska";"Mg/Ca T";"??";62,33;-153,4;-1;"quatres_49_86.pdf";"Hu1998";"??"
2;2;"Pacific_d18O.dat";0;12;"NW Pacific";"$\delta^{18}$O";"??";36;-141;-1;"jquatscirev_19_335.pdf";"Oba2004";"??"
3;3;"d18O_owens_lake.dat";0;12;"Owens Lk, CA";"$\delta^{18}$O";"??";40;-120;-1;"qsr_21_659.pdf";"Benson2002";"??"
4;4;"holo_NWAmerica_Precip.dat";0;8;"E California";"P";"??";37,43;-118,17;-1;"?nato_141_109.pdf";"Hughes1996";"site?"
5;5;"WCanada_canjbot_81_267_bulkdensity.dat";0;8;"W Canada";"Density";"??";53,58;-118,02;-1;"canjbot_81_267.pdf";"Yu2003";"??"
6;6;"holo_moisture_stjoaquin.dat";0;7;"S California";"Moisture";"??";32;-115;-1;"?quatres_23_227.pdf";"Davis1992";"??"
7;7;"moonlake_sal.dat";0;11;"Moon Lk, ND";"Salinity";"??";46,86;-98,16;-1;"clivar_poster.pdf";"Laird1996";"??"
8;8;"Minnesota_Kimble_joe_91_822_CHAR.dat";0;12;"Kimble, MN";"Charcoal";"??";44,22;-93,83;-1;"joe_91_822.pdf";"Camill2003";"??"
9;9;"Minnesota_Sharkey_joe_91_822_CHAR.dat";0;12;"Sharkey, MN";"Charcoal";"??";44,58;-93,4;7,5;"joe_91_822.pdf";"Camill2003";"??"
10;10;"holocene_9_671_d18O.dat";0;9;"NC America";"$\delta^{18}$O";"??";43,73;-92,4;-1;"?holocene_9_671.pdf";"Denniston1999";"no pdf yet"
11;11;"science_258_1626_d18O.dat";0;8;"Cold Water Cv, IA";"$\delta^{18}$O";"??";43,47;-91,97;-1;"?science_258_1626.pdf";"Dorale1992";"??"
12;12;"Yucatan_d18O_cytheridella.dat";0;8;"Guatemala";"$\delta^{18}$O (Cy)";"??";16,55;-89,5;-1;"jpaleolimn_19_139.pdf";"Curtis1998";"??"
13;13;"Yucatan_d18O_cochliopina.dat";0;10;"Guatemala";"$\delta^{18}$O (Co)";"??";16,55;-89,5;-1;"jpaleolimn_19_139.pdf";"Curtis1998";"??"
14;14;"Yucatan_d18O_pyrgophorus.dat";0;10;"Guatemala";"$\delta^{18}$O (Py)";"??";16,55;-89,5;-1;"jpaleolimn_19_139.pdf";"Curtis1998";"??"
15;15;"EPacific_d18O_geophysreslet_30_1428.dat";2;12;"E Pacific";"$\delta^{18}$O";"??";-1,1;-89,41;-1;"geophysreslet_30_1428.pdf";"Rosenthal2003";"??"
16;16;"Chichancanab_d18O_Physocypria.dat";0;8;"Yucatan";"$\delta^{18}$O (Ph)";"??";19;-89;-1;"?nature_364_203.pdf";"Hodell1995";"??"
17;17;"Chichancanab_d18O_Pyrgophorus.dat";0;8;"Yucatan";"$\delta^{18}$O (Py)";"??";19;-89;-1;"?nature_364_203.pdf";"Hodell1995";"??"
18;18;"d18O_CostaRica_Venado.dat";5;9;"Costa Rica";"$\delta^{18}$O";"??";10,6;-84,8;-1;"?geology_32_957.pdf";"Lachniet2004";"??"
19;19;"ECanada_Francis_joe_89_930_CAR.dat";0;7;"E Canada";"Charcoal";"??";48,52;-79,47;-1;"joe_89_930.pdf";"Carcaillet2001";"??"
20;20;"Holo_ENSO_Ecuador.dat";0;10;"Ecuador";"ENSO";"??";-2,77;-79,23;-1;"nature_420_162.pdf";"Moy2002";"??"
21;21;"ECanada_Pessiere_joe_89_930_CAR.dat";0;8;"E Canada";"Charcoal";"??";49,5;-79,23;-1;"joe_89_930.pdf";"Carcaillet2001";"??"
22;22;"Ecuador_grayscale2.dat";0;12;"Ecuador";"GSD";"??";-2,4;-79;-1;"science_283_516.pdf";"Rodbell1999";"??"
23;23;"climchange_58_137_d18O.dat";0;12;"Huascaran, Peru";"$\delta^{18}$O";"??";-9,12;-77,62;10;"climchange_59_137.pdf";"Thompson2003";"??"
24;24;"Chile_paleocean_17_727_d18O.dat";0;8;"Chile";"$\delta^{18}$O";"??";-41;-74,45;-1;"paleoce_17_727.pdf";"Lamy2002";"??"
25;25;"SST_epsl_185_369.dat";0;8;"Chilean Coast";"SST";"??";-41;-74,4;-1;"epsl_185_369.pdf";"Lamy2001";"??"
26;26;"d18O_Haiti_quatres_52_159.dat";0;10;"Haiti";"$\delta^{18}$O";"??";18,25;-73,06;-1;"quatres_52_159.pdf";"HigueraGundy1999";"??"
27;27;"NewEngland_StormFreq.dat";0;12;"New England";"Storms";"??";44;-73;-1;"nature_419_821.pdf";"Noren2002";"Terrigenous input layers, work based on Brown2000_etal_geol, SSA on composite measure, identify local anomalies."
28;28;"Holo_LakeLevel_Titikaka.dat";0;4;"Lk Titikaka";"Level";"E-P Balance";-15;-69;-1;"quatres_47_169.pdf";"Abbott1997";"Abbott1997_etal_qres, LOI and 14C from aquatic gastropods"
29;29;"sajama_dust.dat";0;12;"Sajama, Bolivia";"Particles";"??";-18,1;-68,9;-1;"climchange_59_137.pdf";"Thompson2003";"??"
30;30;"sajama_d18O.dat";0;12;"Sajama, Bolivia";"$\delta^{18}$O";"??";-18,1;-68,9;11;"climchange_59_137.pdf";"Thompson2003";"??"
31;31;"Venezuala_d18O_valencia.dat";0;8;"Venezuela";"$\delta^{18}$O";"??";10,1;-67,4;-1;"?holocene_9_609.pdf";"Curtis1999";"??"
32;32;"NECanada_nature_400_344_grey.dat";4;9;"NE Canada";"GSD";"High latitude cooling";10,7;-64,95;-1;"nature_400_344.pdf";"Barber1999";"Barber1999_etal_nat, Hughen1996_etal_nat, paleo/Atlantic/Tropical/Hughen2000ngdc, "
33;33;"epscilet_181_429_Inclination.dat";1;9;"W Antarctic";"Inclination";"??";-64,51;-64,12;-1;"epsl_181_429.pdf";"Brachfeld2000";"??"
34;34;"cariaco_gray2.dat";0;12;"Cariaco Basin";"GSD";"??";10,3;-63,3;9,5;"science_293_1304.pdf";"Haug2001";"??"
35;35;"science_293_1304_ti.dat";0;12;"Cariaco Basin";"Titanium";"??";10,3;-63,3;9,5;"science_293_1304.pdf";"Haug2001";"??"
36;36;"sst_cariaco_lea2003.dat";0;12;"Cariaco Basin";"SST";"??";10,3;-63,3;11,5;"science_301_1361.pdf";"Lea2003";"??"
37;37;"d18O_science_274_1504_GRuber2.dat";1;10;"Bermuda Rise";"$\delta^{18}$O";"??";33,42;-57,37;-1;"science_274_1503.html";"Keigwin1996";"??"
38;38;"Cruz2005_BotuveraCave_SA_d18O.dat";0;12;"Botuvera Cv, Brasil";"$\delta^{18}$O";"Convection/Circulation";-27,22;-49,16;"NaN";"??";"Cruz2005";"Stalagmite"
39;39;"Greenland_Be10.dat";3;12;"Greenland Ice";"Be$^{10}$";"??";72,6;-38,5;-1;"?jgeophysres_102_26699.pdf";"Finkel1997";"??"
40;40;"holo_d18O_ice.dat";0;10;"Greenland Ice";"$\delta^{18}$O";"??";72,6;-38,5;-1;"?jgeophysres_102_26455.pdf";"Grootes1997";"??"
41;41;"sunspot_natur_431_1084_xpm.dat";0;11;"Greenland Ice";"SSN";"??";72,6;-38,5;-1;"nature_431_1084.pdf";"Solanki2004";"??"
42;42;"GISP2_intcal98_14c.dat";0;12;"Greenland Ice";"$\delta^{14}$C";"??";72,6;-38,5;-1;"???";"Stuiver1998";"??"
43;43;"Arz2001_WestBrasil_2.dat";0;11;"W Atlantic";"$\delta^{18}$O (Tu)";"THC";-4,25;-36,35;-1;"?geology_29_239.pdf";"Arz2001";"Arz2001_etal_geol, GeoB 3910-2, Globorotalia tumida (thermocline planktonic foram)"
44;44;"Arz2001_WestBrasil_1.dat";0;11;"W Atlantic";"$\delta^{18}$O";"Trade wind intensity";-4,25;-36,35;-1;"?geology_29_239.pdf";"Arz2001";"Arz2001_etal_geol, GeoB 3910-2, Globigerinoides sacculifer (surface planktonic foram)"
45;45;"EqAtlantic_climdyn_21_337_dSST.dat";0;12;"Eq Atlantic";"$\Delta$SST";"??";-2,87;-36,13;11;"climdyn_21_337.pdf";"Kim2003";"DELTA-SST!"
46;46;"NAtlantic_nature_421_354_Haematite.dat";0;12;"N Atlantic";"HSG";"??";68,18;-29,6;-1;"nature_421_354.pdf";"Gupta2003";"??"
47;47;"holo_NA_eolian.dat";1;12;"N Atlantic";"LG";"??";64,78;-29,57;11;"science_278_1257.pdf";"Bond1997";"site?"
48;48;"Atlantic_d18O_Gruber.dat";0;11;"Trop Atlantic";"$\delta^{18}$O";"??";20,75;-18,58;-1;"???";"Knaack1997";"ODP108-658C"
49;49;"TropAtlantic_SST_AugAnom_science_288_2198.dat";0;12;"Trop Atlantic";"SST";"??";20,45;-18,35;-1;"science_288_2198.pdf";"DeMenocal2000";"??"
50;50;"HSG_science_294_2130.dat";0;12;"N Atlantic";"HSG";"??";54,17;-16,48;-1;"science_294_2130.pdf";"Bond2001";"??"
51;51;"Canary_d18O.dat";0;12;"Canary";"$\delta^{18}$O";"??";29,02;-13,67;-1;"deepsearesII_49_3655.pdf";"Freudenthal2002";"GeoB4223"
